time,encoding,accuracy
2025-01-15 15:40:10,DISTRIBUTIVE,0.6207
2025-01-15 15:40:10,DISTRIBUTIVE,0.8103
2025-01-15 15:40:10,DISTRIBUTIVE,0.7931
2025-01-15 15:40:11,DISTRIBUTIVE,0.7759
2025-01-15 15:40:11,DISTRIBUTIVE,0.7586
2025-01-15 15:40:11,DISTRIBUTIVE,0.7931
2025-01-15 15:40:11,DISTRIBUTIVE,0.7759
2025-01-15 15:40:11,DISTRIBUTIVE,0.7414
2025-01-15 15:40:11,DISTRIBUTIVE,0.7931
2025-01-15 15:40:11,DISTRIBUTIVE,0.7931
2025-01-15 15:40:12,GAUSSIAN,0.7414
2025-01-15 15:40:12,GAUSSIAN,0.8103
2025-01-15 15:40:12,GAUSSIAN,0.8793
2025-01-15 15:40:12,GAUSSIAN,0.8103
2025-01-15 15:40:12,GAUSSIAN,0.7414
2025-01-15 15:40:12,GAUSSIAN,0.8276
2025-01-15 15:40:12,GAUSSIAN,0.7759
2025-01-15 15:40:12,GAUSSIAN,0.8448
2025-01-15 15:40:12,GAUSSIAN,0.8276
2025-01-15 15:40:12,GAUSSIAN,0.8448
2025-01-15 15:40:14,SCATTER,0.5000
2025-01-15 15:40:14,SCATTER,0.5172
2025-01-15 15:40:14,SCATTER,0.5172
2025-01-15 15:40:14,SCATTER,0.5000
2025-01-15 15:40:14,SCATTER,0.5000
2025-01-15 15:40:14,SCATTER,0.5172
2025-01-15 15:40:14,SCATTER,0.5172
2025-01-15 15:40:14,SCATTER,0.5000
2025-01-15 15:40:14,SCATTER,0.5172
2025-01-15 15:40:14,SCATTER,0.5172
2025-01-15 15:41:07,DISTRIBUTIVE,0.5690
2025-01-15 15:41:07,DISTRIBUTIVE,0.7414
2025-01-15 15:41:07,DISTRIBUTIVE,0.7586
2025-01-15 15:41:07,DISTRIBUTIVE,0.7586
2025-01-15 15:41:07,DISTRIBUTIVE,0.8103
2025-01-15 15:41:07,DISTRIBUTIVE,0.8103
2025-01-15 15:41:07,DISTRIBUTIVE,0.8276
2025-01-15 15:41:07,DISTRIBUTIVE,0.7586
2025-01-15 15:41:07,DISTRIBUTIVE,0.7586
2025-01-15 15:41:07,DISTRIBUTIVE,0.7586
2025-01-15 15:41:08,GAUSSIAN,0.6724
2025-01-15 15:41:08,GAUSSIAN,0.7759
2025-01-15 15:41:08,GAUSSIAN,0.7759
2025-01-15 15:41:08,GAUSSIAN,0.7759
2025-01-15 15:41:09,GAUSSIAN,0.7931
2025-01-15 15:41:09,GAUSSIAN,0.8276
2025-01-15 15:41:09,GAUSSIAN,0.7759
2025-01-15 15:41:09,GAUSSIAN,0.7931
2025-01-15 15:41:09,GAUSSIAN,0.8448
2025-01-15 15:41:09,GAUSSIAN,0.8448
2025-01-15 15:41:11,SCATTER,0.5000
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:41:11,SCATTER,0.5000
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:41:11,SCATTER,0.5000
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:41:11,SCATTER,0.5172
2025-01-15 15:47:31,DISTRIBUTIVE,0.5137
2025-01-15 15:47:31,DISTRIBUTIVE,0.5189
2025-01-15 15:47:31,DISTRIBUTIVE,0.5154
2025-01-15 15:47:31,DISTRIBUTIVE,0.5034
2025-01-15 15:47:31,DISTRIBUTIVE,0.5097
2025-01-15 15:47:31,DISTRIBUTIVE,0.5215
2025-01-15 15:47:31,DISTRIBUTIVE,0.5094
2025-01-15 15:47:31,DISTRIBUTIVE,0.5236
2025-01-15 15:47:31,DISTRIBUTIVE,0.4908
2025-01-15 15:47:31,DISTRIBUTIVE,0.5045
2025-01-15 15:49:19,GAUSSIAN,0.5154
2025-01-15 15:49:19,GAUSSIAN,0.5154
2025-01-15 15:49:19,GAUSSIAN,0.5256
2025-01-15 15:49:19,GAUSSIAN,0.5207
2025-01-15 15:49:19,GAUSSIAN,0.5228
2025-01-15 15:49:19,GAUSSIAN,0.5182
2025-01-15 15:49:19,GAUSSIAN,0.5190
2025-01-15 15:49:19,GAUSSIAN,0.4982
2025-01-15 15:49:19,GAUSSIAN,0.5099
2025-01-15 15:49:19,GAUSSIAN,0.5122
2025-01-15 15:52:27,SCATTER,0.4937
2025-01-15 15:52:27,SCATTER,0.4949
2025-01-15 15:52:27,SCATTER,0.5132
2025-01-15 15:52:27,SCATTER,0.5172
2025-01-15 15:52:27,SCATTER,0.4908
2025-01-15 15:52:27,SCATTER,0.5251
2025-01-15 15:52:27,SCATTER,0.5123
2025-01-15 15:52:27,SCATTER,0.4976
2025-01-15 15:52:27,SCATTER,0.5259
2025-01-15 15:52:27,SCATTER,0.4952
