time,encoding,accuracy
2025-01-15 15:58:13,DISTRIBUTIVE,0.9337
2025-01-15 15:58:13,DISTRIBUTIVE,0.9585
2025-01-15 15:58:13,DISTRIBUTIVE,0.9660
2025-01-15 15:58:13,DISTRIBUTIVE,0.9687
2025-01-15 15:58:13,DISTRIBUTIVE,0.9709
2025-01-15 15:58:13,DISTRIBUTIVE,0.9752
2025-01-15 15:58:13,DISTRIBUTIVE,0.9747
2025-01-15 15:58:13,DISTRIBUTIVE,0.9741
2025-01-15 15:58:13,DISTRIBUTIVE,0.9741
2025-01-15 15:58:13,DISTRIBUTIVE,0.9763
2025-01-15 15:58:17,GAUSSIAN,0.9466
2025-01-15 15:58:17,GAUSSIAN,0.9601
2025-01-15 15:58:17,GAUSSIAN,0.9682
2025-01-15 15:58:17,GAUSSIAN,0.9720
2025-01-15 15:58:17,GAUSSIAN,0.9709
2025-01-15 15:58:17,GAUSSIAN,0.9741
2025-01-15 15:58:17,GAUSSIAN,0.9768
2025-01-15 15:58:17,GAUSSIAN,0.9779
2025-01-15 15:58:17,GAUSSIAN,0.9779
2025-01-15 15:58:17,GAUSSIAN,0.9779
2025-01-15 15:58:24,SCATTER,0.9439
2025-01-15 15:58:24,SCATTER,0.9574
2025-01-15 15:58:24,SCATTER,0.9677
2025-01-15 15:58:24,SCATTER,0.9687
2025-01-15 15:58:24,SCATTER,0.9720
2025-01-15 15:58:24,SCATTER,0.9752
2025-01-15 15:58:24,SCATTER,0.9752
2025-01-15 15:58:24,SCATTER,0.9747
2025-01-15 15:58:24,SCATTER,0.9757
2025-01-15 15:58:24,SCATTER,0.9757
