time,encoding,accuracy
2025-01-15 15:05:42,DISTRIBUTIVE,0.9400
2025-01-15 15:05:42,DISTRIBUTIVE,0.9800
2025-01-15 15:05:42,DISTRIBUTIVE,0.9400
2025-01-15 15:05:42,DISTRIBUTIVE,0.9600
2025-01-15 15:05:42,DISTRIBUTIVE,0.9400
2025-01-15 15:05:42,DISTRIBUTIVE,0.9400
2025-01-15 15:05:42,DISTRIBUTIVE,0.9800
2025-01-15 15:05:42,DISTRIBUTIVE,0.9600
2025-01-15 15:05:42,DISTRIBUTIVE,0.9400
2025-01-15 15:05:42,DISTRIBUTIVE,0.9600
2025-01-15 15:05:42,GAUSSIAN,0.9200
2025-01-15 15:05:42,GAUSSIAN,0.9800
2025-01-15 15:05:42,GAUSSIAN,0.9400
2025-01-15 15:05:42,GAUSSIAN,0.9600
2025-01-15 15:05:42,GAUSSIAN,0.9800
2025-01-15 15:05:42,GAUSSIAN,0.9800
2025-01-15 15:05:42,GAUSSIAN,0.9600
2025-01-15 15:05:42,GAUSSIAN,0.9800
2025-01-15 15:05:42,GAUSSIAN,0.9600
2025-01-15 15:05:42,GAUSSIAN,0.9600
2025-01-15 15:05:42,GAUSSIAN,0.7800
2025-01-15 15:05:42,GAUSSIAN,0.9400
2025-01-15 15:05:42,GAUSSIAN,1.0000
2025-01-15 15:05:42,GAUSSIAN,1.0000
2025-01-15 15:05:42,GAUSSIAN,0.8400
2025-01-15 15:05:42,GAUSSIAN,0.9200
2025-01-15 15:05:42,GAUSSIAN,1.0000
2025-01-15 15:05:42,GAUSSIAN,0.9800
2025-01-15 15:05:42,GAUSSIAN,1.0000
2025-01-15 15:05:42,GAUSSIAN,1.0000
2025-01-15 15:07:20,DISTRIBUTIVE,0.8800
2025-01-15 15:07:20,DISTRIBUTIVE,0.9200
2025-01-15 15:07:20,DISTRIBUTIVE,0.9600
2025-01-15 15:07:20,DISTRIBUTIVE,0.9800
2025-01-15 15:07:20,DISTRIBUTIVE,0.9400
2025-01-15 15:07:20,DISTRIBUTIVE,0.9400
2025-01-15 15:07:20,DISTRIBUTIVE,1.0000
2025-01-15 15:07:20,DISTRIBUTIVE,0.9400
2025-01-15 15:07:20,DISTRIBUTIVE,0.9400
2025-01-15 15:07:20,DISTRIBUTIVE,0.9400
2025-01-15 15:07:20,GAUSSIAN,0.8800
2025-01-15 15:07:20,GAUSSIAN,0.9000
2025-01-15 15:07:20,GAUSSIAN,0.9600
2025-01-15 15:07:20,GAUSSIAN,0.9600
2025-01-15 15:07:20,GAUSSIAN,0.9400
2025-01-15 15:07:20,GAUSSIAN,0.9600
2025-01-15 15:07:20,GAUSSIAN,0.9200
2025-01-15 15:07:20,GAUSSIAN,0.9400
2025-01-15 15:07:20,GAUSSIAN,0.9600
2025-01-15 15:07:20,GAUSSIAN,0.9600
2025-01-15 15:07:20,SCATTER,0.9600
2025-01-15 15:07:20,SCATTER,0.8800
2025-01-15 15:07:20,SCATTER,0.8000
2025-01-15 15:07:20,SCATTER,0.9200
2025-01-15 15:07:20,SCATTER,1.0000
2025-01-15 15:07:20,SCATTER,1.0000
2025-01-15 15:07:20,SCATTER,0.9000
2025-01-15 15:07:20,SCATTER,1.0000
2025-01-15 15:07:20,SCATTER,1.0000
2025-01-15 15:07:20,SCATTER,0.8800
