time,encoding,accuracy
2025-01-15 16:16:04,DISTRIBUTIVE,0.9535
2025-01-15 16:16:04,DISTRIBUTIVE,0.9534
2025-01-15 16:16:04,DISTRIBUTIVE,0.9483
2025-01-15 16:16:04,DISTRIBUTIVE,0.9588
2025-01-15 16:16:04,DISTRIBUTIVE,0.8697
2025-01-15 16:16:04,DISTRIBUTIVE,0.9615
2025-01-15 16:16:04,DISTRIBUTIVE,0.9593
2025-01-15 16:16:04,DISTRIBUTIVE,0.9500
2025-01-15 16:16:04,DISTRIBUTIVE,0.9639
2025-01-15 16:16:04,DISTRIBUTIVE,0.9656
2025-01-15 16:16:30,GAUSSIAN,0.9480
2025-01-15 16:16:30,GAUSSIAN,0.9568
2025-01-15 16:16:30,GAUSSIAN,0.9488
2025-01-15 16:16:30,GAUSSIAN,0.9574
2025-01-15 16:16:30,GAUSSIAN,0.9517
2025-01-15 16:16:30,GAUSSIAN,0.9565
2025-01-15 16:16:30,GAUSSIAN,0.9564
2025-01-15 16:16:30,GAUSSIAN,0.9543
2025-01-15 16:16:30,GAUSSIAN,0.9520
2025-01-15 16:16:30,GAUSSIAN,0.9607
2025-01-15 16:17:12,SCATTER,0.9119
2025-01-15 16:17:12,SCATTER,0.9543
2025-01-15 16:17:12,SCATTER,0.9387
2025-01-15 16:17:12,SCATTER,0.9468
2025-01-15 16:17:12,SCATTER,0.9626
2025-01-15 16:17:12,SCATTER,0.9583
2025-01-15 16:17:12,SCATTER,0.9613
2025-01-15 16:17:12,SCATTER,0.9574
2025-01-15 16:17:12,SCATTER,0.9603
2025-01-15 16:17:12,SCATTER,0.9571
