time,encoding,accuracy
2025-01-15 16:36:43,DISTRIBUTIVE,0.5088
2025-01-15 16:36:43,DISTRIBUTIVE,0.4561
2025-01-15 16:36:43,DISTRIBUTIVE,0.5789
2025-01-15 16:36:43,DISTRIBUTIVE,0.6667
2025-01-15 16:36:43,DISTRIBUTIVE,0.6316
2025-01-15 16:36:43,DISTRIBUTIVE,0.6140
2025-01-15 16:36:43,DISTRIBUTIVE,0.5965
2025-01-15 16:36:43,DISTRIBUTIVE,0.6140
2025-01-15 16:36:43,DISTRIBUTIVE,0.6491
2025-01-15 16:36:43,DISTRIBUTIVE,0.5965
2025-01-15 16:36:45,GAUSSIAN,0.4737
2025-01-15 16:36:45,GAUSSIAN,0.5789
2025-01-15 16:36:45,GAUSSIAN,0.5088
2025-01-15 16:36:45,GAUSSIAN,0.5614
2025-01-15 16:36:45,GAUSSIAN,0.5263
2025-01-15 16:36:45,GAUSSIAN,0.6316
2025-01-15 16:36:45,GAUSSIAN,0.5789
2025-01-15 16:36:45,GAUSSIAN,0.6491
2025-01-15 16:36:45,GAUSSIAN,0.6667
2025-01-15 16:36:45,GAUSSIAN,0.5614
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.3333
2025-01-15 16:36:51,SCATTER,0.6842
2025-01-15 16:36:51,SCATTER,0.6842
