model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:11:09,0.5095,Distributive,0.8198
Wisard,2025-01-22 23:11:09,0.5402,Distributive,0.8288
Wisard,2025-01-22 23:11:09,0.5673,Distributive,0.8559
Wisard,2025-01-22 23:11:09,0.5938,Distributive,0.8378
Wisard,2025-01-22 23:11:09,0.6205,Distributive,0.8288
Wisard,2025-01-22 23:11:09,0.6474,Distributive,0.7748
Wisard,2025-01-22 23:11:09,0.6735,Distributive,0.8378
Wisard,2025-01-22 23:11:09,0.7006,Distributive,0.8378
Wisard,2025-01-22 23:11:09,0.7271,Distributive,0.8288
Wisard,2025-01-22 23:11:09,0.7532,Distributive,0.8288
Wisard,2025-01-22 23:11:10,0.0319,Gaussian,0.8288
Wisard,2025-01-22 23:11:10,0.0567,Gaussian,0.8198
Wisard,2025-01-22 23:11:10,0.0809,Gaussian,0.7748
Wisard,2025-01-22 23:11:10,0.1053,Gaussian,0.8108
Wisard,2025-01-22 23:11:10,0.1297,Gaussian,0.8018
Wisard,2025-01-22 23:11:10,0.1540,Gaussian,0.8108
Wisard,2025-01-22 23:11:10,0.1783,Gaussian,0.8108
Wisard,2025-01-22 23:11:10,0.2025,Gaussian,0.8649
Wisard,2025-01-22 23:11:10,0.2263,Gaussian,0.8378
Wisard,2025-01-22 23:11:10,0.2663,Gaussian,0.8739
Wisard,2025-01-22 23:11:10,0.0301,Linear,0.8018
Wisard,2025-01-22 23:11:10,0.0542,Linear,0.8108
Wisard,2025-01-22 23:11:10,0.0785,Linear,0.8198
Wisard,2025-01-22 23:11:10,0.1027,Linear,0.8468
Wisard,2025-01-22 23:11:10,0.1271,Linear,0.8018
Wisard,2025-01-22 23:11:10,0.1514,Linear,0.7928
Wisard,2025-01-22 23:11:10,0.1757,Linear,0.8198
Wisard,2025-01-22 23:11:10,0.2001,Linear,0.7928
Wisard,2025-01-22 23:11:10,0.2247,Linear,0.8288
Wisard,2025-01-22 23:11:10,0.2501,Linear,0.8288
Wisard,2025-01-22 23:11:10,0.0447,Scatter Code,0.7928
Wisard,2025-01-22 23:11:10,0.0746,Scatter Code,0.8108
Wisard,2025-01-22 23:11:10,0.1045,Scatter Code,0.8108
Wisard,2025-01-22 23:11:10,0.1344,Scatter Code,0.8108
Wisard,2025-01-22 23:11:10,0.1634,Scatter Code,0.7658
Wisard,2025-01-22 23:11:10,0.1926,Scatter Code,0.8468
Wisard,2025-01-22 23:11:10,0.2220,Scatter Code,0.8378
Wisard,2025-01-22 23:11:10,0.2517,Scatter Code,0.8468
Wisard,2025-01-22 23:11:10,0.2823,Scatter Code,0.8559
Wisard,2025-01-22 23:11:10,0.3267,Scatter Code,0.8288
Wisard,2025-01-22 23:12:15,0.5003,Distributive,0.8288
Wisard,2025-01-22 23:12:15,0.5296,Distributive,0.8108
Wisard,2025-01-22 23:12:15,0.5578,Distributive,0.8468
Wisard,2025-01-22 23:12:15,0.5864,Distributive,0.8468
Wisard,2025-01-22 23:12:15,0.6135,Distributive,0.8378
Wisard,2025-01-22 23:12:15,0.6413,Distributive,0.8108
Wisard,2025-01-22 23:12:15,0.6684,Distributive,0.8018
