model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:12:36,0.9104,Distributive,0.7842
Wisard,2025-01-22 23:12:37,1.7176,Distributive,0.8252
Wisard,2025-01-22 23:12:38,2.5141,Distributive,0.8376
Wisard,2025-01-22 23:12:38,3.3364,Distributive,0.8477
Wisard,2025-01-22 23:12:39,4.1609,Distributive,0.8631
Wisard,2025-01-22 23:12:40,4.9885,Distributive,0.8629
Wisard,2025-01-22 23:12:41,5.7958,Distributive,0.8608
Wisard,2025-01-22 23:12:42,6.6005,Distributive,0.8837
Wisard,2025-01-22 23:12:42,7.4025,Distributive,0.8788
Wisard,2025-01-22 23:12:43,8.2026,Distributive,0.8906
Wisard,2025-01-22 23:12:44,0.8042,Gaussian,0.6276
Wisard,2025-01-22 23:12:45,1.5993,Gaussian,0.6341
Wisard,2025-01-22 23:12:46,2.3996,Gaussian,0.6199
Wisard,2025-01-22 23:12:46,3.1972,Gaussian,0.6646
Wisard,2025-01-22 23:12:47,4.0052,Gaussian,0.6610
Wisard,2025-01-22 23:12:48,4.7990,Gaussian,0.6400
Wisard,2025-01-22 23:12:49,5.6027,Gaussian,0.6640
Wisard,2025-01-22 23:12:50,6.3949,Gaussian,0.6566
Wisard,2025-01-22 23:12:50,7.2118,Gaussian,0.6642
Wisard,2025-01-22 23:12:51,8.0321,Gaussian,0.6638
Wisard,2025-01-22 23:12:52,0.8481,Linear,0.4711
Wisard,2025-01-22 23:12:53,1.6606,Linear,0.5378
Wisard,2025-01-22 23:12:54,2.4556,Linear,0.5382
Wisard,2025-01-22 23:12:55,3.2536,Linear,0.5342
Wisard,2025-01-22 23:12:55,4.0605,Linear,0.4676
Wisard,2025-01-22 23:12:56,4.8662,Linear,0.4711
Wisard,2025-01-22 23:12:57,5.6687,Linear,0.5342
Wisard,2025-01-22 23:12:58,6.4725,Linear,0.5344
Wisard,2025-01-22 23:12:59,7.2718,Linear,0.5342
Wisard,2025-01-22 23:12:59,8.0736,Linear,0.5382
Wisard,2025-01-22 23:13:01,1.1412,Scatter Code,0.5342
Wisard,2025-01-22 23:13:02,2.2588,Scatter Code,0.5344
Wisard,2025-01-22 23:13:03,3.3854,Scatter Code,0.5344
Wisard,2025-01-22 23:13:04,4.5561,Scatter Code,0.4656
Wisard,2025-01-22 23:13:05,5.7016,Scatter Code,0.5342
Wisard,2025-01-22 23:13:06,6.8273,Scatter Code,0.5342
Wisard,2025-01-22 23:13:07,7.9429,Scatter Code,0.4658
Wisard,2025-01-22 23:13:08,9.0684,Scatter Code,0.4658
Wisard,2025-01-22 23:13:10,10.1965,Scatter Code,0.5344
Wisard,2025-01-22 23:13:11,11.3332,Scatter Code,0.5344
Wisard,2025-01-22 23:16:52,0.8923,Distributive,0.7860
Wisard,2025-01-22 23:16:52,1.6936,Distributive,0.8242
Wisard,2025-01-22 23:16:53,2.4962,Distributive,0.8481
Wisard,2025-01-22 23:16:54,3.2937,Distributive,0.8530
Wisard,2025-01-22 23:16:55,4.1180,Distributive,0.8635
Wisard,2025-01-22 23:16:56,4.9541,Distributive,0.8722
Wisard,2025-01-22 23:16:56,5.7826,Distributive,0.8790
Wisard,2025-01-22 23:16:57,6.5870,Distributive,0.8817
Wisard,2025-01-22 23:16:58,7.3809,Distributive,0.8845
Wisard,2025-01-22 23:16:59,8.1771,Distributive,0.8847
Wisard,2025-01-22 23:17:00,0.8093,Gaussian,0.6062
Wisard,2025-01-22 23:17:00,1.6111,Gaussian,0.6386
Wisard,2025-01-22 23:17:01,2.4136,Gaussian,0.6301
Wisard,2025-01-22 23:17:02,3.2333,Gaussian,0.6377
Wisard,2025-01-22 23:17:03,4.0334,Gaussian,0.6315
Wisard,2025-01-22 23:17:04,4.8423,Gaussian,0.6715
Wisard,2025-01-22 23:17:05,5.6561,Gaussian,0.6434
Wisard,2025-01-22 23:17:05,6.4644,Gaussian,0.6408
Wisard,2025-01-22 23:17:06,7.2736,Gaussian,0.6847
Wisard,2025-01-22 23:17:07,8.0910,Gaussian,0.6928
Wisard,2025-01-22 23:17:08,0.8421,Linear,0.5380
Wisard,2025-01-22 23:17:09,1.6611,Linear,0.4711
Wisard,2025-01-22 23:17:09,2.4738,Linear,0.5344
Wisard,2025-01-22 23:17:10,3.3006,Linear,0.5342
Wisard,2025-01-22 23:17:11,4.1070,Linear,0.5342
Wisard,2025-01-22 23:17:12,4.9039,Linear,0.5344
Wisard,2025-01-22 23:17:13,5.7004,Linear,0.5380
