model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:14:02,0.0235,Distributive,0.5915
Wisard,2025-01-22 23:14:02,0.0420,Distributive,0.6338
Wisard,2025-01-22 23:14:02,0.0583,Distributive,0.5915
Wisard,2025-01-22 23:14:02,0.0748,Distributive,0.7042
Wisard,2025-01-22 23:14:02,0.0909,Distributive,0.6479
Wisard,2025-01-22 23:14:02,0.1068,Distributive,0.7042
Wisard,2025-01-22 23:14:02,0.1229,Distributive,0.6479
Wisard,2025-01-22 23:14:02,0.1401,Distributive,0.7042
Wisard,2025-01-22 23:14:02,0.1569,Distributive,0.7183
Wisard,2025-01-22 23:14:02,0.1729,Distributive,0.7183
Wisard,2025-01-22 23:14:02,0.0223,Gaussian,0.5775
Wisard,2025-01-22 23:14:02,0.0388,Gaussian,0.7465
Wisard,2025-01-22 23:14:02,0.0550,Gaussian,0.5915
Wisard,2025-01-22 23:14:02,0.0843,Gaussian,0.6338
Wisard,2025-01-22 23:14:03,0.1003,Gaussian,0.6901
Wisard,2025-01-22 23:14:03,0.1165,Gaussian,0.7606
Wisard,2025-01-22 23:14:03,0.1327,Gaussian,0.7183
Wisard,2025-01-22 23:14:03,0.1486,Gaussian,0.7465
Wisard,2025-01-22 23:14:03,0.1644,Gaussian,0.7606
Wisard,2025-01-22 23:14:03,0.1806,Gaussian,0.7606
Wisard,2025-01-22 23:14:03,0.0226,Linear,0.5493
Wisard,2025-01-22 23:14:03,0.0385,Linear,0.5493
Wisard,2025-01-22 23:14:03,0.0543,Linear,0.6479
Wisard,2025-01-22 23:14:03,0.0700,Linear,0.6479
Wisard,2025-01-22 23:14:03,0.0864,Linear,0.6479
Wisard,2025-01-22 23:14:03,0.1026,Linear,0.6479
Wisard,2025-01-22 23:14:03,0.1198,Linear,0.6197
Wisard,2025-01-22 23:14:03,0.1358,Linear,0.6479
Wisard,2025-01-22 23:14:03,0.1515,Linear,0.5915
Wisard,2025-01-22 23:14:03,0.1674,Linear,0.6620
Wisard,2025-01-22 23:14:03,0.0346,Scatter Code,0.2958
Wisard,2025-01-22 23:14:03,0.0683,Scatter Code,0.3521
Wisard,2025-01-22 23:14:03,0.0886,Scatter Code,0.3521
Wisard,2025-01-22 23:14:03,0.1091,Scatter Code,0.3239
Wisard,2025-01-22 23:14:03,0.1293,Scatter Code,0.3521
Wisard,2025-01-22 23:14:03,0.1495,Scatter Code,0.3239
Wisard,2025-01-22 23:14:03,0.1698,Scatter Code,0.3380
