model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:12:17,0.0211,Distributive,0.8800
Wisard,2025-01-22 23:12:17,0.0378,Distributive,0.9200
Wisard,2025-01-22 23:12:17,0.0520,Distributive,0.8000
Wisard,2025-01-22 23:12:17,0.0664,Distributive,0.9200
Wisard,2025-01-22 23:12:17,0.0796,Distributive,0.9200
Wisard,2025-01-22 23:12:17,0.0937,Distributive,0.9800
Wisard,2025-01-22 23:12:17,0.1110,Distributive,0.9400
Wisard,2025-01-22 23:12:17,0.1252,Distributive,0.9600
Wisard,2025-01-22 23:12:17,0.1386,Distributive,0.9400
Wisard,2025-01-22 23:12:17,0.1525,Distributive,1.0000
Wisard,2025-01-22 23:12:17,0.0172,Gaussian,0.9000
Wisard,2025-01-22 23:12:17,0.0306,Gaussian,0.9400
Wisard,2025-01-22 23:12:17,0.0441,Gaussian,0.9800
Wisard,2025-01-22 23:12:17,0.0577,Gaussian,0.9600
Wisard,2025-01-22 23:12:17,0.0717,Gaussian,0.9800
Wisard,2025-01-22 23:12:17,0.0857,Gaussian,0.9600
Wisard,2025-01-22 23:12:17,0.0995,Gaussian,0.9800
Wisard,2025-01-22 23:12:17,0.1131,Gaussian,0.9600
Wisard,2025-01-22 23:12:17,0.1264,Gaussian,0.9800
Wisard,2025-01-22 23:12:17,0.1397,Gaussian,0.9600
Wisard,2025-01-22 23:12:17,0.0168,Linear,0.9400
Wisard,2025-01-22 23:12:17,0.0304,Linear,0.9400
Wisard,2025-01-22 23:12:17,0.0438,Linear,0.9800
Wisard,2025-01-22 23:12:17,0.0574,Linear,0.9800
Wisard,2025-01-22 23:12:17,0.0722,Linear,0.9800
Wisard,2025-01-22 23:12:17,0.0852,Linear,0.9800
Wisard,2025-01-22 23:12:17,0.0981,Linear,0.9600
Wisard,2025-01-22 23:12:17,0.1111,Linear,0.9600
Wisard,2025-01-22 23:12:17,0.1270,Linear,0.9400
Wisard,2025-01-22 23:12:17,0.1423,Linear,0.9400
Wisard,2025-01-22 23:12:17,0.0218,Scatter Code,0.8000
Wisard,2025-01-22 23:12:17,0.0375,Scatter Code,0.8800
Wisard,2025-01-22 23:12:17,0.0519,Scatter Code,1.0000
Wisard,2025-01-22 23:12:17,0.0666,Scatter Code,0.9400
Wisard,2025-01-22 23:12:17,0.0810,Scatter Code,1.0000
Wisard,2025-01-22 23:12:17,0.0957,Scatter Code,1.0000
Wisard,2025-01-22 23:12:17,0.1103,Scatter Code,1.0000
Wisard,2025-01-22 23:12:17,0.1257,Scatter Code,1.0000
Wisard,2025-01-22 23:12:17,0.1402,Scatter Code,0.9600
Wisard,2025-01-22 23:12:17,0.1550,Scatter Code,0.9800
Wisard,2025-01-22 23:16:32,0.0184,Distributive,0.9400
Wisard,2025-01-22 23:16:32,0.0333,Distributive,0.9400
Wisard,2025-01-22 23:16:32,0.0475,Distributive,0.9800
Wisard,2025-01-22 23:16:33,0.0774,Distributive,0.9200
Wisard,2025-01-22 23:16:33,0.0916,Distributive,1.0000
Wisard,2025-01-22 23:16:33,0.1057,Distributive,0.9800
Wisard,2025-01-22 23:16:33,0.1196,Distributive,0.9600
Wisard,2025-01-22 23:16:33,0.1335,Distributive,0.9400
Wisard,2025-01-22 23:16:33,0.1473,Distributive,0.9600
Wisard,2025-01-22 23:16:33,0.1611,Distributive,0.9600
Wisard,2025-01-22 23:16:33,0.0166,Gaussian,0.8000
Wisard,2025-01-22 23:16:33,0.0304,Gaussian,0.9800
Wisard,2025-01-22 23:16:33,0.0441,Gaussian,0.9600
Wisard,2025-01-22 23:16:33,0.0583,Gaussian,0.9600
Wisard,2025-01-22 23:16:33,0.0725,Gaussian,0.9400
Wisard,2025-01-22 23:16:33,0.0866,Gaussian,0.9800
Wisard,2025-01-22 23:16:33,0.1007,Gaussian,0.9800
Wisard,2025-01-22 23:16:33,0.1149,Gaussian,0.9800
Wisard,2025-01-22 23:16:33,0.1286,Gaussian,0.9800
Wisard,2025-01-22 23:16:33,0.1425,Gaussian,0.9800
Wisard,2025-01-22 23:16:33,0.0168,Linear,0.9600
Wisard,2025-01-22 23:16:33,0.0417,Linear,0.9400
Wisard,2025-01-22 23:16:33,0.0552,Linear,0.9800
Wisard,2025-01-22 23:16:33,0.0692,Linear,0.9600
Wisard,2025-01-22 23:16:33,0.0836,Linear,0.9800
Wisard,2025-01-22 23:16:33,0.0973,Linear,0.9800
Wisard,2025-01-22 23:16:33,0.1104,Linear,1.0000
Wisard,2025-01-22 23:16:33,0.1235,Linear,0.9800
Wisard,2025-01-22 23:16:33,0.1368,Linear,0.9600
Wisard,2025-01-22 23:16:33,0.1500,Linear,0.9600
Wisard,2025-01-22 23:16:33,0.0217,Scatter Code,0.8000
Wisard,2025-01-22 23:16:33,0.0365,Scatter Code,0.9600
Wisard,2025-01-22 23:16:33,0.0506,Scatter Code,1.0000
Wisard,2025-01-22 23:16:33,0.0649,Scatter Code,1.0000
Wisard,2025-01-22 23:16:33,0.0794,Scatter Code,1.0000
Wisard,2025-01-22 23:16:33,0.0934,Scatter Code,0.9000
Wisard,2025-01-22 23:16:33,0.1076,Scatter Code,1.0000
Wisard,2025-01-22 23:16:33,0.1227,Scatter Code,1.0000
Wisard,2025-01-22 23:16:33,0.1371,Scatter Code,0.9200
Wisard,2025-01-22 23:16:33,0.1522,Scatter Code,1.0000
Wisard,2025-01-22 23:19:13,0.0200,Distributive,0.8800
Wisard,2025-01-22 23:19:13,0.0343,Distributive,0.9600
Wisard,2025-01-22 23:19:13,0.0475,Distributive,0.9600
Wisard,2025-01-22 23:19:13,0.0608,Distributive,0.9600
Wisard,2025-01-22 23:19:13,0.0740,Distributive,0.9600
Wisard,2025-01-22 23:19:13,0.0874,Distributive,0.9800
Wisard,2025-01-22 23:19:13,0.1008,Distributive,0.9600
Wisard,2025-01-22 23:19:13,0.1137,Distributive,0.9800
Wisard,2025-01-22 23:19:13,0.1267,Distributive,0.9800
Wisard,2025-01-22 23:19:13,0.1395,Distributive,0.9800
Wisard,2025-01-22 23:19:14,0.0159,Gaussian,0.9000
Wisard,2025-01-22 23:19:14,0.0290,Gaussian,0.9200
Wisard,2025-01-22 23:19:14,0.0567,Gaussian,0.9400
Wisard,2025-01-22 23:19:14,0.0699,Gaussian,0.9800
Wisard,2025-01-22 23:19:14,0.0829,Gaussian,0.9600
Wisard,2025-01-22 23:19:14,0.0960,Gaussian,0.9800
Wisard,2025-01-22 23:19:14,0.1089,Gaussian,0.9400
Wisard,2025-01-22 23:19:14,0.1219,Gaussian,0.9400
Wisard,2025-01-22 23:19:14,0.1351,Gaussian,0.9800
Wisard,2025-01-22 23:19:14,0.1486,Gaussian,0.9800
Wisard,2025-01-22 23:19:14,0.0167,Linear,0.9000
Wisard,2025-01-22 23:19:14,0.0300,Linear,0.9600
Wisard,2025-01-22 23:19:14,0.0430,Linear,0.9800
Wisard,2025-01-22 23:19:14,0.0560,Linear,0.9400
Wisard,2025-01-22 23:19:14,0.0696,Linear,0.9600
Wisard,2025-01-22 23:19:14,0.0833,Linear,0.9800
Wisard,2025-01-22 23:19:14,0.0970,Linear,0.9800
Wisard,2025-01-22 23:19:14,0.1105,Linear,0.9800
Wisard,2025-01-22 23:19:14,0.1240,Linear,0.9800
Wisard,2025-01-22 23:19:14,0.1375,Linear,0.9800
Wisard,2025-01-22 23:19:14,0.0216,Scatter Code,0.8800
Wisard,2025-01-22 23:19:14,0.0358,Scatter Code,0.8000
Wisard,2025-01-22 23:19:14,0.0509,Scatter Code,1.0000
Wisard,2025-01-22 23:19:14,0.0655,Scatter Code,0.9200
Wisard,2025-01-22 23:19:14,0.0801,Scatter Code,0.9800
Wisard,2025-01-22 23:19:14,0.0953,Scatter Code,0.9600
Wisard,2025-01-22 23:19:14,0.1104,Scatter Code,1.0000
Wisard,2025-01-22 23:19:14,0.1251,Scatter Code,1.0000
Wisard,2025-01-22 23:19:14,0.1398,Scatter Code,0.8600
Wisard,2025-01-22 23:19:14,0.1541,Scatter Code,0.9400
Wisard,2025-01-22 23:33:01,0.0186,Distributive,0.9200
Wisard,2025-01-22 23:33:01,0.0344,Distributive,0.9000
Wisard,2025-01-22 23:33:01,0.0488,Distributive,0.9200
Wisard,2025-01-22 23:33:01,0.0627,Distributive,0.9200
Wisard,2025-01-22 23:33:01,0.0765,Distributive,0.9400
Wisard,2025-01-22 23:33:01,0.0906,Distributive,0.9400
Wisard,2025-01-22 23:33:01,0.1049,Distributive,0.9600
Wisard,2025-01-22 23:33:01,0.1188,Distributive,0.9600
Wisard,2025-01-22 23:33:01,0.1328,Distributive,0.9600
Wisard,2025-01-22 23:33:01,0.1598,Distributive,0.9200
Wisard,2025-01-22 23:33:01,0.0174,Gaussian,0.8800
Wisard,2025-01-22 23:33:01,0.0317,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.0457,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.0596,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.0735,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.0877,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.1015,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.1154,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.1296,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.1437,Gaussian,0.9800
Wisard,2025-01-22 23:33:01,0.0174,Linear,0.9200
Wisard,2025-01-22 23:33:01,0.0309,Linear,0.9000
Wisard,2025-01-22 23:33:01,0.0448,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.0587,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.0728,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.0868,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.1008,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.1272,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.1423,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.1571,Linear,0.9800
Wisard,2025-01-22 23:33:01,0.0235,Scatter Code,0.9000
Wisard,2025-01-22 23:33:01,0.0391,Scatter Code,1.0000
Wisard,2025-01-22 23:33:01,0.0541,Scatter Code,1.0000
Wisard,2025-01-22 23:33:01,0.0687,Scatter Code,1.0000
Wisard,2025-01-22 23:33:01,0.0840,Scatter Code,1.0000
Wisard,2025-01-22 23:33:01,0.0992,Scatter Code,0.8600
Wisard,2025-01-22 23:33:01,0.1140,Scatter Code,1.0000
Wisard,2025-01-22 23:33:01,0.1293,Scatter Code,0.9800
Wisard,2025-01-22 23:33:01,0.1443,Scatter Code,1.0000
Wisard,2025-01-22 23:33:01,0.1603,Scatter Code,0.8600
Wisard,2025-01-22 23:37:19,0.0202,Distributive,0.9000
Wisard,2025-01-22 23:37:19,0.0347,Distributive,0.8800
Wisard,2025-01-22 23:37:19,0.0481,Distributive,0.8600
Wisard,2025-01-22 23:37:19,0.0616,Distributive,0.9000
Wisard,2025-01-22 23:37:19,0.0750,Distributive,0.8800
Wisard,2025-01-22 23:37:19,0.0889,Distributive,0.9400
Wisard,2025-01-22 23:37:19,0.1021,Distributive,0.9000
Wisard,2025-01-22 23:37:19,0.1156,Distributive,0.9600
Wisard,2025-01-22 23:37:19,0.1294,Distributive,0.9200
Wisard,2025-01-22 23:37:19,0.1436,Distributive,0.9200
Wisard,2025-01-22 23:37:19,0.0168,Gaussian,0.9200
Wisard,2025-01-22 23:37:19,0.0319,Gaussian,0.9800
Wisard,2025-01-22 23:37:19,0.0467,Gaussian,0.9600
Wisard,2025-01-22 23:37:19,0.0747,Gaussian,0.9600
Wisard,2025-01-22 23:37:19,0.0881,Gaussian,0.9600
Wisard,2025-01-22 23:37:19,0.1012,Gaussian,0.9800
Wisard,2025-01-22 23:37:19,0.1143,Gaussian,0.9800
Wisard,2025-01-22 23:37:19,0.1274,Gaussian,0.9800
Wisard,2025-01-22 23:37:19,0.1406,Gaussian,0.9800
Wisard,2025-01-22 23:37:19,0.1539,Gaussian,0.9800
Wisard,2025-01-22 23:37:19,0.0164,Linear,0.9800
Wisard,2025-01-22 23:37:19,0.0294,Linear,0.9800
Wisard,2025-01-22 23:37:19,0.0425,Linear,0.9200
Wisard,2025-01-22 23:37:19,0.0556,Linear,0.9800
Wisard,2025-01-22 23:37:19,0.0694,Linear,0.9200
Wisard,2025-01-22 23:37:19,0.0829,Linear,0.9600
Wisard,2025-01-22 23:37:19,0.0963,Linear,0.9400
Wisard,2025-01-22 23:37:19,0.1098,Linear,0.9600
Wisard,2025-01-22 23:37:19,0.1238,Linear,0.9600
Wisard,2025-01-22 23:37:19,0.1374,Linear,0.9600
Wisard,2025-01-22 23:37:19,0.0211,Scatter Code,0.8600
Wisard,2025-01-22 23:37:19,0.0491,Scatter Code,1.0000
Wisard,2025-01-22 23:37:19,0.0649,Scatter Code,0.9000
Wisard,2025-01-22 23:37:19,0.0794,Scatter Code,0.9200
Wisard,2025-01-22 23:37:19,0.0942,Scatter Code,1.0000
Wisard,2025-01-22 23:37:19,0.1096,Scatter Code,0.9600
Wisard,2025-01-22 23:37:19,0.1241,Scatter Code,1.0000
Wisard,2025-01-22 23:37:19,0.1386,Scatter Code,1.0000
Wisard,2025-01-22 23:37:19,0.1532,Scatter Code,1.0000
Wisard,2025-01-22 23:37:19,0.1677,Scatter Code,0.9800
