model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:13:14,1.0140,Distributive,0.7993
Wisard,2025-01-22 23:13:15,1.9424,Distributive,0.8220
Wisard,2025-01-22 23:13:16,2.8977,Distributive,0.8107
Wisard,2025-01-22 23:13:17,3.8592,Distributive,0.8213
Wisard,2025-01-22 23:13:18,4.8219,Distributive,0.8265
Wisard,2025-01-22 23:13:19,5.7459,Distributive,0.8305
Wisard,2025-01-22 23:13:19,6.6696,Distributive,0.8268
Wisard,2025-01-22 23:13:20,7.6095,Distributive,0.8307
Wisard,2025-01-22 23:13:21,8.5735,Distributive,0.8314
Wisard,2025-01-22 23:13:22,9.5174,Distributive,0.8346
Wisard,2025-01-22 23:13:23,0.9261,Gaussian,0.8015
Wisard,2025-01-22 23:13:24,1.8492,Gaussian,0.8032
Wisard,2025-01-22 23:13:25,2.7588,Gaussian,0.8082
Wisard,2025-01-22 23:13:26,3.6612,Gaussian,0.8252
Wisard,2025-01-22 23:13:27,4.5639,Gaussian,0.7789
Wisard,2025-01-22 23:13:28,5.4894,Gaussian,0.8251
Wisard,2025-01-22 23:13:29,6.4290,Gaussian,0.8291
Wisard,2025-01-22 23:13:30,7.3577,Gaussian,0.8230
Wisard,2025-01-22 23:13:31,8.2704,Gaussian,0.8297
Wisard,2025-01-22 23:13:31,9.1864,Gaussian,0.7978
Wisard,2025-01-22 23:13:32,0.9165,Linear,0.8058
Wisard,2025-01-22 23:13:33,1.8221,Linear,0.7586
Wisard,2025-01-22 23:13:34,2.7270,Linear,0.7870
Wisard,2025-01-22 23:13:35,3.6378,Linear,0.8005
Wisard,2025-01-22 23:13:36,4.5415,Linear,0.7711
Wisard,2025-01-22 23:13:37,5.4550,Linear,0.7532
Wisard,2025-01-22 23:13:38,6.3697,Linear,0.7843
Wisard,2025-01-22 23:13:39,7.2879,Linear,0.7996
Wisard,2025-01-22 23:13:40,8.1974,Linear,0.7989
Wisard,2025-01-22 23:13:41,9.1487,Linear,0.8123
Wisard,2025-01-22 23:13:42,1.2818,Scatter Code,0.7467
Wisard,2025-01-22 23:13:43,2.5033,Scatter Code,0.7155
Wisard,2025-01-22 23:13:44,3.7337,Scatter Code,0.7355
Wisard,2025-01-22 23:13:46,4.9515,Scatter Code,0.7609
Wisard,2025-01-22 23:13:47,6.1813,Scatter Code,0.5445
Wisard,2025-01-22 23:13:48,7.3938,Scatter Code,0.7373
Wisard,2025-01-22 23:13:49,8.6199,Scatter Code,0.7438
Wisard,2025-01-22 23:13:50,9.8351,Scatter Code,0.7459
Wisard,2025-01-22 23:13:52,11.0599,Scatter Code,0.7559
Wisard,2025-01-22 23:13:53,12.2930,Scatter Code,0.7625
Wisard,2025-01-22 23:17:29,1.0058,Distributive,0.8193
Wisard,2025-01-22 23:17:30,1.9120,Distributive,0.8295
Wisard,2025-01-22 23:17:31,2.8223,Distributive,0.8259
Wisard,2025-01-22 23:17:32,3.7593,Distributive,0.8252
Wisard,2025-01-22 23:17:33,4.7153,Distributive,0.8254
Wisard,2025-01-22 23:17:34,5.6695,Distributive,0.8213
Wisard,2025-01-22 23:17:35,6.6008,Distributive,0.8401
Wisard,2025-01-22 23:17:36,7.5079,Distributive,0.8225
Wisard,2025-01-22 23:17:37,8.4149,Distributive,0.8450
Wisard,2025-01-22 23:17:38,9.3136,Distributive,0.8348
Wisard,2025-01-22 23:17:39,0.9130,Gaussian,0.7934
