model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:13:59,0.0563,Distributive,0.6776
Wisard,2025-01-22 23:13:59,0.1068,Distributive,0.6836
Wisard,2025-01-22 23:13:59,0.1601,Distributive,0.7224
Wisard,2025-01-22 23:13:59,0.2157,Distributive,0.7403
Wisard,2025-01-22 23:13:59,0.2696,Distributive,0.7254
Wisard,2025-01-22 23:13:59,0.3229,Distributive,0.7582
Wisard,2025-01-22 23:13:59,0.3758,Distributive,0.7403
Wisard,2025-01-22 23:13:59,0.4281,Distributive,0.7522
Wisard,2025-01-22 23:13:59,0.4800,Distributive,0.7403
Wisard,2025-01-22 23:13:59,0.5316,Distributive,0.7612
Wisard,2025-01-22 23:13:59,0.0576,Gaussian,0.6328
Wisard,2025-01-22 23:13:59,0.1084,Gaussian,0.6448
Wisard,2025-01-22 23:13:59,0.1594,Gaussian,0.6537
Wisard,2025-01-22 23:13:59,0.2100,Gaussian,0.6806
Wisard,2025-01-22 23:13:59,0.2610,Gaussian,0.6567
Wisard,2025-01-22 23:13:59,0.3120,Gaussian,0.6567
Wisard,2025-01-22 23:14:00,0.3631,Gaussian,0.6866
Wisard,2025-01-22 23:14:00,0.4152,Gaussian,0.7194
Wisard,2025-01-22 23:14:00,0.4679,Gaussian,0.6537
Wisard,2025-01-22 23:14:00,0.5200,Gaussian,0.7045
Wisard,2025-01-22 23:14:00,0.0578,Linear,0.6209
Wisard,2025-01-22 23:14:00,0.1099,Linear,0.6478
Wisard,2025-01-22 23:14:00,0.1633,Linear,0.6836
Wisard,2025-01-22 23:14:00,0.2151,Linear,0.6537
Wisard,2025-01-22 23:14:00,0.2659,Linear,0.6597
Wisard,2025-01-22 23:14:00,0.3166,Linear,0.7224
Wisard,2025-01-22 23:14:00,0.3666,Linear,0.6507
Wisard,2025-01-22 23:14:00,0.4178,Linear,0.6955
Wisard,2025-01-22 23:14:00,0.4691,Linear,0.7164
Wisard,2025-01-22 23:14:00,0.5211,Linear,0.7194
Wisard,2025-01-22 23:14:00,0.0721,Scatter Code,0.4985
Wisard,2025-01-22 23:14:00,0.1338,Scatter Code,0.5075
Wisard,2025-01-22 23:14:00,0.1946,Scatter Code,0.4985
Wisard,2025-01-22 23:14:00,0.2552,Scatter Code,0.5642
Wisard,2025-01-22 23:14:01,0.3168,Scatter Code,0.5881
Wisard,2025-01-22 23:14:01,0.3778,Scatter Code,0.5642
Wisard,2025-01-22 23:14:01,0.4402,Scatter Code,0.5791
Wisard,2025-01-22 23:14:01,0.5024,Scatter Code,0.5731
Wisard,2025-01-22 23:14:01,0.5634,Scatter Code,0.5851
Wisard,2025-01-22 23:14:01,0.6230,Scatter Code,0.5552
Wisard,2025-01-22 23:18:14,0.0581,Distributive,0.7075
Wisard,2025-01-22 23:18:14,0.1116,Distributive,0.6657
Wisard,2025-01-22 23:18:14,0.1624,Distributive,0.7015
Wisard,2025-01-22 23:18:14,0.2132,Distributive,0.7194
Wisard,2025-01-22 23:18:14,0.2640,Distributive,0.7164
Wisard,2025-01-22 23:18:14,0.3134,Distributive,0.7522
Wisard,2025-01-22 23:18:14,0.3624,Distributive,0.7403
Wisard,2025-01-22 23:18:14,0.4118,Distributive,0.7134
Wisard,2025-01-22 23:18:14,0.4613,Distributive,0.7433
Wisard,2025-01-22 23:18:14,0.5109,Distributive,0.7731
Wisard,2025-01-22 23:18:14,0.0564,Gaussian,0.6358
Wisard,2025-01-22 23:18:14,0.1051,Gaussian,0.6687
Wisard,2025-01-22 23:18:14,0.1543,Gaussian,0.6657
Wisard,2025-01-22 23:18:14,0.2049,Gaussian,0.6567
Wisard,2025-01-22 23:18:14,0.2550,Gaussian,0.6627
Wisard,2025-01-22 23:18:14,0.3064,Gaussian,0.6776
Wisard,2025-01-22 23:18:14,0.3580,Gaussian,0.6776
Wisard,2025-01-22 23:18:15,0.4099,Gaussian,0.6567
Wisard,2025-01-22 23:18:15,0.4625,Gaussian,0.7134
Wisard,2025-01-22 23:18:15,0.5154,Gaussian,0.7164
Wisard,2025-01-22 23:18:15,0.0584,Linear,0.6806
Wisard,2025-01-22 23:18:15,0.1096,Linear,0.6060
Wisard,2025-01-22 23:18:15,0.1593,Linear,0.6597
Wisard,2025-01-22 23:18:15,0.2117,Linear,0.6627
Wisard,2025-01-22 23:18:15,0.2644,Linear,0.7254
Wisard,2025-01-22 23:18:15,0.3146,Linear,0.6955
Wisard,2025-01-22 23:18:15,0.3659,Linear,0.6716
Wisard,2025-01-22 23:18:15,0.4162,Linear,0.6239
Wisard,2025-01-22 23:18:15,0.4663,Linear,0.6746
Wisard,2025-01-22 23:18:15,0.5169,Linear,0.7015
Wisard,2025-01-22 23:18:15,0.0707,Scatter Code,0.5433
Wisard,2025-01-22 23:18:15,0.1327,Scatter Code,0.5970
Wisard,2025-01-22 23:18:15,0.1947,Scatter Code,0.5731
Wisard,2025-01-22 23:18:15,0.2554,Scatter Code,0.5075
Wisard,2025-01-22 23:18:15,0.3149,Scatter Code,0.5403
Wisard,2025-01-22 23:18:16,0.3755,Scatter Code,0.5433
Wisard,2025-01-22 23:18:16,0.4360,Scatter Code,0.5075
Wisard,2025-01-22 23:18:16,0.5108,Scatter Code,0.4567
Wisard,2025-01-22 23:18:16,0.5723,Scatter Code,0.5284
Wisard,2025-01-22 23:18:16,0.6321,Scatter Code,0.5672
Wisard,2025-01-22 23:20:54,0.0538,Distributive,0.6149
Wisard,2025-01-22 23:20:54,0.1034,Distributive,0.7075
Wisard,2025-01-22 23:20:54,0.1526,Distributive,0.7015
Wisard,2025-01-22 23:20:54,0.2015,Distributive,0.7284
Wisard,2025-01-22 23:20:54,0.2497,Distributive,0.6955
Wisard,2025-01-22 23:20:54,0.2986,Distributive,0.7373
Wisard,2025-01-22 23:20:54,0.3472,Distributive,0.7552
Wisard,2025-01-22 23:20:54,0.3964,Distributive,0.7284
Wisard,2025-01-22 23:20:54,0.4455,Distributive,0.7433
Wisard,2025-01-22 23:20:54,0.5074,Distributive,0.7463
Wisard,2025-01-22 23:20:55,0.0530,Gaussian,0.6209
Wisard,2025-01-22 23:20:55,0.1022,Gaussian,0.6149
Wisard,2025-01-22 23:20:55,0.1512,Gaussian,0.7075
Wisard,2025-01-22 23:20:55,0.2008,Gaussian,0.6716
Wisard,2025-01-22 23:20:55,0.2515,Gaussian,0.7015
Wisard,2025-01-22 23:20:55,0.3031,Gaussian,0.6776
Wisard,2025-01-22 23:20:55,0.3530,Gaussian,0.6925
Wisard,2025-01-22 23:20:55,0.4034,Gaussian,0.6925
Wisard,2025-01-22 23:20:55,0.4539,Gaussian,0.6657
Wisard,2025-01-22 23:20:55,0.5043,Gaussian,0.6896
Wisard,2025-01-22 23:20:55,0.0556,Linear,0.6149
Wisard,2025-01-22 23:20:55,0.1056,Linear,0.6687
Wisard,2025-01-22 23:20:55,0.1553,Linear,0.6448
Wisard,2025-01-22 23:20:55,0.2056,Linear,0.6776
Wisard,2025-01-22 23:20:55,0.2556,Linear,0.6687
Wisard,2025-01-22 23:20:55,0.3060,Linear,0.6985
Wisard,2025-01-22 23:20:55,0.3567,Linear,0.6866
Wisard,2025-01-22 23:20:55,0.4202,Linear,0.7313
Wisard,2025-01-22 23:20:55,0.4708,Linear,0.6746
Wisard,2025-01-22 23:20:55,0.5208,Linear,0.6418
Wisard,2025-01-22 23:20:56,0.0767,Scatter Code,0.5582
Wisard,2025-01-22 23:20:56,0.1378,Scatter Code,0.5313
Wisard,2025-01-22 23:20:56,0.1987,Scatter Code,0.5642
Wisard,2025-01-22 23:20:56,0.2607,Scatter Code,0.5254
Wisard,2025-01-22 23:20:56,0.3226,Scatter Code,0.5791
Wisard,2025-01-22 23:20:56,0.3839,Scatter Code,0.5343
Wisard,2025-01-22 23:20:56,0.4442,Scatter Code,0.5104
Wisard,2025-01-22 23:20:56,0.5051,Scatter Code,0.5015
Wisard,2025-01-22 23:20:56,0.5655,Scatter Code,0.5731
Wisard,2025-01-22 23:20:56,0.6253,Scatter Code,0.5940
Wisard,2025-01-22 23:34:43,0.0580,Distributive,0.6299
Wisard,2025-01-22 23:34:43,0.1103,Distributive,0.6836
Wisard,2025-01-22 23:34:43,0.1624,Distributive,0.7194
Wisard,2025-01-22 23:34:43,0.2132,Distributive,0.7134
Wisard,2025-01-22 23:34:43,0.2647,Distributive,0.7254
Wisard,2025-01-22 23:34:43,0.3151,Distributive,0.7045
Wisard,2025-01-22 23:34:43,0.3659,Distributive,0.7851
Wisard,2025-01-22 23:34:43,0.4162,Distributive,0.7194
