model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:13:54,0.0711,Distributive,0.1250
Wisard,2025-01-22 23:13:54,0.1323,Distributive,0.1464
Wisard,2025-01-22 23:13:55,0.1882,Distributive,0.1786
Wisard,2025-01-22 23:13:55,0.2442,Distributive,0.1143
Wisard,2025-01-22 23:13:55,0.3131,Distributive,0.1179
Wisard,2025-01-22 23:13:55,0.3689,Distributive,0.1429
Wisard,2025-01-22 23:13:55,0.4241,Distributive,0.1250
Wisard,2025-01-22 23:13:55,0.4787,Distributive,0.1786
Wisard,2025-01-22 23:13:55,0.5339,Distributive,0.1679
Wisard,2025-01-22 23:13:55,0.5885,Distributive,0.1607
Wisard,2025-01-22 23:13:55,0.0732,Gaussian,0.1571
Wisard,2025-01-22 23:13:55,0.1288,Gaussian,0.1214
Wisard,2025-01-22 23:13:55,0.1835,Gaussian,0.1786
Wisard,2025-01-22 23:13:55,0.2376,Gaussian,0.1536
Wisard,2025-01-22 23:13:55,0.2918,Gaussian,0.1286
Wisard,2025-01-22 23:13:55,0.3462,Gaussian,0.1357
Wisard,2025-01-22 23:13:55,0.4004,Gaussian,0.1714
Wisard,2025-01-22 23:13:55,0.4551,Gaussian,0.1036
Wisard,2025-01-22 23:13:55,0.5098,Gaussian,0.1500
Wisard,2025-01-22 23:13:56,0.5654,Gaussian,0.1536
Wisard,2025-01-22 23:13:56,0.0698,Linear,0.0893
Wisard,2025-01-22 23:13:56,0.1249,Linear,0.1464
Wisard,2025-01-22 23:13:56,0.1983,Linear,0.1321
Wisard,2025-01-22 23:13:56,0.2568,Linear,0.1821
Wisard,2025-01-22 23:13:56,0.3143,Linear,0.1250
Wisard,2025-01-22 23:13:56,0.3701,Linear,0.2143
Wisard,2025-01-22 23:13:56,0.4256,Linear,0.0929
Wisard,2025-01-22 23:13:56,0.4809,Linear,0.1857
Wisard,2025-01-22 23:13:56,0.5369,Linear,0.1536
Wisard,2025-01-22 23:13:56,0.5915,Linear,0.1750
Wisard,2025-01-22 23:13:56,0.1156,Scatter Code,0.2000
Wisard,2025-01-22 23:13:56,0.1960,Scatter Code,0.2000
Wisard,2025-01-22 23:13:56,0.2745,Scatter Code,0.2250
Wisard,2025-01-22 23:13:56,0.3526,Scatter Code,0.2821
Wisard,2025-01-22 23:13:57,0.4304,Scatter Code,0.2250
Wisard,2025-01-22 23:13:57,0.5105,Scatter Code,0.2250
Wisard,2025-01-22 23:13:57,0.5886,Scatter Code,0.2000
Wisard,2025-01-22 23:13:57,0.6675,Scatter Code,0.2821
Wisard,2025-01-22 23:13:57,0.7455,Scatter Code,0.0000
Wisard,2025-01-22 23:13:57,0.8236,Scatter Code,0.2000
Wisard,2025-01-22 23:18:10,0.0714,Distributive,0.1321
Wisard,2025-01-22 23:18:10,0.1338,Distributive,0.0857
Wisard,2025-01-22 23:18:10,0.1918,Distributive,0.1464
Wisard,2025-01-22 23:18:10,0.2483,Distributive,0.1321
Wisard,2025-01-22 23:18:10,0.3192,Distributive,0.1643
Wisard,2025-01-22 23:18:10,0.3756,Distributive,0.1250
Wisard,2025-01-22 23:18:10,0.4329,Distributive,0.1679
Wisard,2025-01-22 23:18:10,0.4905,Distributive,0.1143
Wisard,2025-01-22 23:18:11,0.5496,Distributive,0.1321
Wisard,2025-01-22 23:18:11,0.6097,Distributive,0.1286
Wisard,2025-01-22 23:18:11,0.0765,Gaussian,0.1321
Wisard,2025-01-22 23:18:11,0.1345,Gaussian,0.1714
Wisard,2025-01-22 23:18:11,0.1965,Gaussian,0.1357
Wisard,2025-01-22 23:18:11,0.2522,Gaussian,0.1250
Wisard,2025-01-22 23:18:11,0.3110,Gaussian,0.1714
Wisard,2025-01-22 23:18:11,0.3675,Gaussian,0.1000
Wisard,2025-01-22 23:18:11,0.4397,Gaussian,0.1107
Wisard,2025-01-22 23:18:11,0.4967,Gaussian,0.1393
Wisard,2025-01-22 23:18:11,0.5513,Gaussian,0.1643
Wisard,2025-01-22 23:18:11,0.6071,Gaussian,0.1500
Wisard,2025-01-22 23:18:11,0.0740,Linear,0.1679
Wisard,2025-01-22 23:18:11,0.1296,Linear,0.1536
Wisard,2025-01-22 23:18:11,0.1838,Linear,0.1214
Wisard,2025-01-22 23:18:11,0.2384,Linear,0.1607
Wisard,2025-01-22 23:18:11,0.2923,Linear,0.1143
Wisard,2025-01-22 23:18:12,0.3489,Linear,0.1571
Wisard,2025-01-22 23:18:12,0.4044,Linear,0.1750
Wisard,2025-01-22 23:18:12,0.4593,Linear,0.1321
Wisard,2025-01-22 23:18:12,0.5288,Linear,0.1071
Wisard,2025-01-22 23:18:12,0.5839,Linear,0.1179
Wisard,2025-01-22 23:18:12,0.1141,Scatter Code,0.2821
Wisard,2025-01-22 23:18:12,0.1943,Scatter Code,0.2821
Wisard,2025-01-22 23:18:12,0.2721,Scatter Code,0.2250
Wisard,2025-01-22 23:18:12,0.3501,Scatter Code,0.2000
Wisard,2025-01-22 23:18:12,0.4282,Scatter Code,0.2821
Wisard,2025-01-22 23:18:12,0.5071,Scatter Code,0.2821
Wisard,2025-01-22 23:18:12,0.5857,Scatter Code,0.2821
Wisard,2025-01-22 23:18:12,0.6642,Scatter Code,0.2250
Wisard,2025-01-22 23:18:13,0.7451,Scatter Code,0.0000
Wisard,2025-01-22 23:18:13,0.8243,Scatter Code,0.2000
Wisard,2025-01-22 23:20:50,0.0742,Distributive,0.1393
Wisard,2025-01-22 23:20:51,0.1349,Distributive,0.1714
Wisard,2025-01-22 23:20:51,0.1927,Distributive,0.1286
Wisard,2025-01-22 23:20:51,0.2482,Distributive,0.1250
Wisard,2025-01-22 23:20:51,0.3051,Distributive,0.1214
Wisard,2025-01-22 23:20:51,0.3620,Distributive,0.1214
Wisard,2025-01-22 23:20:51,0.4190,Distributive,0.1464
Wisard,2025-01-22 23:20:51,0.4738,Distributive,0.1286
Wisard,2025-01-22 23:20:51,0.5285,Distributive,0.1607
Wisard,2025-01-22 23:20:51,0.5823,Distributive,0.1893
Wisard,2025-01-22 23:20:51,0.0680,Gaussian,0.1357
Wisard,2025-01-22 23:20:51,0.1232,Gaussian,0.1357
Wisard,2025-01-22 23:20:51,0.1783,Gaussian,0.1679
Wisard,2025-01-22 23:20:51,0.2323,Gaussian,0.1179
Wisard,2025-01-22 23:20:51,0.2862,Gaussian,0.1750
Wisard,2025-01-22 23:20:51,0.3407,Gaussian,0.1464
Wisard,2025-01-22 23:20:51,0.3942,Gaussian,0.1071
Wisard,2025-01-22 23:20:51,0.4482,Gaussian,0.1679
Wisard,2025-01-22 23:20:51,0.5028,Gaussian,0.1429
Wisard,2025-01-22 23:20:52,0.5572,Gaussian,0.1607
Wisard,2025-01-22 23:20:52,0.0687,Linear,0.1107
Wisard,2025-01-22 23:20:52,0.1240,Linear,0.1571
Wisard,2025-01-22 23:20:52,0.1801,Linear,0.1429
Wisard,2025-01-22 23:20:52,0.2349,Linear,0.1750
Wisard,2025-01-22 23:20:52,0.2890,Linear,0.1679
Wisard,2025-01-22 23:20:52,0.3430,Linear,0.1964
Wisard,2025-01-22 23:20:52,0.3970,Linear,0.1071
Wisard,2025-01-22 23:20:52,0.4519,Linear,0.1536
Wisard,2025-01-22 23:20:52,0.5051,Linear,0.1714
Wisard,2025-01-22 23:20:52,0.5585,Linear,0.1607
Wisard,2025-01-22 23:20:52,0.1114,Scatter Code,0.2821
Wisard,2025-01-22 23:20:52,0.1913,Scatter Code,0.2000
Wisard,2025-01-22 23:20:52,0.2687,Scatter Code,0.2821
Wisard,2025-01-22 23:20:52,0.3460,Scatter Code,0.0000
Wisard,2025-01-22 23:20:53,0.4243,Scatter Code,0.2821
Wisard,2025-01-22 23:20:53,0.5017,Scatter Code,0.2821
Wisard,2025-01-22 23:20:53,0.5794,Scatter Code,0.2000
Wisard,2025-01-22 23:20:53,0.6576,Scatter Code,0.2000
Wisard,2025-01-22 23:20:53,0.7356,Scatter Code,0.2250
Wisard,2025-01-22 23:20:53,0.8145,Scatter Code,0.0000
Wisard,2025-01-22 23:34:39,0.0741,Distributive,0.1179
Wisard,2025-01-22 23:34:39,0.1360,Distributive,0.1250
Wisard,2025-01-22 23:34:39,0.1969,Distributive,0.1679
Wisard,2025-01-22 23:34:39,0.2571,Distributive,0.1179
Wisard,2025-01-22 23:34:39,0.3168,Distributive,0.0786
Wisard,2025-01-22 23:34:39,0.3721,Distributive,0.1464
Wisard,2025-01-22 23:34:39,0.4270,Distributive,0.1107
Wisard,2025-01-22 23:34:39,0.4821,Distributive,0.1714
Wisard,2025-01-22 23:34:40,0.5536,Distributive,0.1286
Wisard,2025-01-22 23:34:40,0.6082,Distributive,0.1500
Wisard,2025-01-22 23:34:40,0.0725,Gaussian,0.1679
Wisard,2025-01-22 23:34:40,0.1283,Gaussian,0.1786
Wisard,2025-01-22 23:34:40,0.1837,Gaussian,0.1214
Wisard,2025-01-22 23:34:40,0.2381,Gaussian,0.1429
Wisard,2025-01-22 23:34:40,0.2930,Gaussian,0.1536
Wisard,2025-01-22 23:34:40,0.3468,Gaussian,0.1679
Wisard,2025-01-22 23:34:40,0.4007,Gaussian,0.1714
Wisard,2025-01-22 23:34:40,0.4544,Gaussian,0.1357
Wisard,2025-01-22 23:34:40,0.5093,Gaussian,0.1286
Wisard,2025-01-22 23:34:40,0.5637,Gaussian,0.1500
Wisard,2025-01-22 23:34:40,0.0700,Linear,0.1000
Wisard,2025-01-22 23:34:40,0.1269,Linear,0.1464
Wisard,2025-01-22 23:34:40,0.1827,Linear,0.1821
Wisard,2025-01-22 23:34:40,0.2385,Linear,0.1929
Wisard,2025-01-22 23:34:40,0.2938,Linear,0.1286
Wisard,2025-01-22 23:34:41,0.3499,Linear,0.1536
Wisard,2025-01-22 23:34:41,0.4172,Linear,0.1571
Wisard,2025-01-22 23:34:41,0.4721,Linear,0.1464
Wisard,2025-01-22 23:34:41,0.5273,Linear,0.1536
Wisard,2025-01-22 23:34:41,0.5827,Linear,0.1500
Wisard,2025-01-22 23:34:41,0.1167,Scatter Code,0.2821
Wisard,2025-01-22 23:34:41,0.1958,Scatter Code,0.2250
Wisard,2025-01-22 23:34:41,0.2756,Scatter Code,0.2821
Wisard,2025-01-22 23:34:41,0.3551,Scatter Code,0.2250
Wisard,2025-01-22 23:34:41,0.4335,Scatter Code,0.2000
