model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:12:19,0.4173,Distributive,0.4928
Wisard,2025-01-22 23:12:20,0.7762,Distributive,0.4788
Wisard,2025-01-22 23:12:20,1.1014,Distributive,0.5152
Wisard,2025-01-22 23:12:20,1.4238,Distributive,0.4886
Wisard,2025-01-22 23:12:21,1.7503,Distributive,0.5170
Wisard,2025-01-22 23:12:21,2.0862,Distributive,0.5114
Wisard,2025-01-22 23:12:21,2.4095,Distributive,0.4793
Wisard,2025-01-22 23:12:22,2.7321,Distributive,0.5161
Wisard,2025-01-22 23:12:22,3.0655,Distributive,0.5217
Wisard,2025-01-22 23:12:22,3.3992,Distributive,0.5138
Wisard,2025-01-22 23:12:23,0.3411,Gaussian,0.4662
Wisard,2025-01-22 23:12:23,0.6697,Gaussian,0.4718
Wisard,2025-01-22 23:12:23,0.9897,Gaussian,0.4886
Wisard,2025-01-22 23:12:24,1.3077,Gaussian,0.4970
Wisard,2025-01-22 23:12:24,1.6336,Gaussian,0.4816
Wisard,2025-01-22 23:12:24,1.9571,Gaussian,0.5152
Wisard,2025-01-22 23:12:25,2.2796,Gaussian,0.5217
Wisard,2025-01-22 23:12:25,2.6015,Gaussian,0.5268
Wisard,2025-01-22 23:12:25,2.9250,Gaussian,0.5091
Wisard,2025-01-22 23:12:26,3.2646,Gaussian,0.5166
Wisard,2025-01-22 23:12:26,0.3485,Linear,0.4942
Wisard,2025-01-22 23:12:26,0.6783,Linear,0.4387
Wisard,2025-01-22 23:12:27,1.0058,Linear,0.4918
Wisard,2025-01-22 23:12:27,1.3355,Linear,0.4406
Wisard,2025-01-22 23:12:27,1.6672,Linear,0.4452
Wisard,2025-01-22 23:12:28,2.0020,Linear,0.4625
Wisard,2025-01-22 23:12:28,2.3347,Linear,0.4960
Wisard,2025-01-22 23:12:28,2.6640,Linear,0.4620
Wisard,2025-01-22 23:12:28,2.9828,Linear,0.4629
Wisard,2025-01-22 23:12:29,3.3053,Linear,0.4671
Wisard,2025-01-22 23:12:29,0.4597,Scatter Code,0.3786
Wisard,2025-01-22 23:12:30,0.8955,Scatter Code,0.4056
Wisard,2025-01-22 23:12:30,1.3368,Scatter Code,0.4219
Wisard,2025-01-22 23:12:31,1.7780,Scatter Code,0.3772
Wisard,2025-01-22 23:12:31,2.2199,Scatter Code,0.4023
Wisard,2025-01-22 23:12:31,2.6601,Scatter Code,0.3450
Wisard,2025-01-22 23:12:32,3.1028,Scatter Code,0.2816
Wisard,2025-01-22 23:12:32,3.5478,Scatter Code,0.4079
Wisard,2025-01-22 23:12:33,3.9873,Scatter Code,0.2555
Wisard,2025-01-22 23:12:33,4.4264,Scatter Code,0.3580
Wisard,2025-01-22 23:16:35,0.4077,Distributive,0.4816
Wisard,2025-01-22 23:16:35,0.7303,Distributive,0.4825
Wisard,2025-01-22 23:16:36,1.0513,Distributive,0.4998
Wisard,2025-01-22 23:16:36,1.3698,Distributive,0.4965
Wisard,2025-01-22 23:16:36,1.6887,Distributive,0.5138
Wisard,2025-01-22 23:16:37,2.0113,Distributive,0.5026
Wisard,2025-01-22 23:16:37,2.3324,Distributive,0.5044
Wisard,2025-01-22 23:16:37,2.6540,Distributive,0.5282
Wisard,2025-01-22 23:16:38,2.9753,Distributive,0.5268
Wisard,2025-01-22 23:16:38,3.3087,Distributive,0.5338
Wisard,2025-01-22 23:16:38,0.3335,Gaussian,0.4872
Wisard,2025-01-22 23:16:39,0.6549,Gaussian,0.4830
Wisard,2025-01-22 23:16:39,0.9728,Gaussian,0.4783
Wisard,2025-01-22 23:16:39,1.2921,Gaussian,0.4765
Wisard,2025-01-22 23:16:40,1.6099,Gaussian,0.4909
Wisard,2025-01-22 23:16:40,1.9310,Gaussian,0.4984
Wisard,2025-01-22 23:16:40,2.2498,Gaussian,0.4998
Wisard,2025-01-22 23:16:41,2.5752,Gaussian,0.4942
Wisard,2025-01-22 23:16:41,2.9012,Gaussian,0.5147
Wisard,2025-01-22 23:16:41,3.2261,Gaussian,0.5086
Wisard,2025-01-22 23:16:41,0.3300,Linear,0.4448
Wisard,2025-01-22 23:16:42,0.6574,Linear,0.4727
Wisard,2025-01-22 23:16:42,0.9819,Linear,0.4448
Wisard,2025-01-22 23:16:42,1.3109,Linear,0.4508
Wisard,2025-01-22 23:16:43,1.6396,Linear,0.4615
Wisard,2025-01-22 23:16:43,1.9621,Linear,0.4559
Wisard,2025-01-22 23:16:43,2.2910,Linear,0.4681
Wisard,2025-01-22 23:16:44,2.6239,Linear,0.4527
Wisard,2025-01-22 23:16:44,2.9527,Linear,0.4779
Wisard,2025-01-22 23:16:44,3.2699,Linear,0.4723
Wisard,2025-01-22 23:16:45,0.4657,Scatter Code,0.2890
Wisard,2025-01-22 23:16:45,0.8997,Scatter Code,0.4555
Wisard,2025-01-22 23:16:46,1.3403,Scatter Code,0.3823
Wisard,2025-01-22 23:16:46,1.7757,Scatter Code,0.2471
Wisard,2025-01-22 23:16:47,2.2105,Scatter Code,0.2643
Wisard,2025-01-22 23:16:47,2.6647,Scatter Code,0.4145
Wisard,2025-01-22 23:16:48,3.0961,Scatter Code,0.3254
Wisard,2025-01-22 23:16:48,3.5355,Scatter Code,0.3967
Wisard,2025-01-22 23:16:48,3.9701,Scatter Code,0.4410
Wisard,2025-01-22 23:16:49,4.4091,Scatter Code,0.4485
Wisard,2025-01-22 23:19:16,0.4119,Distributive,0.4858
Wisard,2025-01-22 23:19:16,0.7475,Distributive,0.5114
Wisard,2025-01-22 23:19:17,1.0705,Distributive,0.4751
Wisard,2025-01-22 23:19:17,1.3923,Distributive,0.5026
Wisard,2025-01-22 23:19:17,1.7126,Distributive,0.4979
Wisard,2025-01-22 23:19:18,2.0316,Distributive,0.5193
Wisard,2025-01-22 23:19:18,2.3520,Distributive,0.5231
Wisard,2025-01-22 23:19:18,2.6734,Distributive,0.5240
Wisard,2025-01-22 23:19:18,2.9900,Distributive,0.5277
Wisard,2025-01-22 23:19:19,3.3111,Distributive,0.5156
Wisard,2025-01-22 23:19:19,0.3267,Gaussian,0.4587
Wisard,2025-01-22 23:19:19,0.6434,Gaussian,0.4662
Wisard,2025-01-22 23:19:20,0.9620,Gaussian,0.4634
Wisard,2025-01-22 23:19:20,1.2797,Gaussian,0.4741
Wisard,2025-01-22 23:19:20,1.6007,Gaussian,0.5021
Wisard,2025-01-22 23:19:21,1.9162,Gaussian,0.4923
Wisard,2025-01-22 23:19:21,2.2407,Gaussian,0.5184
Wisard,2025-01-22 23:19:21,2.5557,Gaussian,0.5105
Wisard,2025-01-22 23:19:22,2.8801,Gaussian,0.5077
Wisard,2025-01-22 23:19:22,3.2135,Gaussian,0.5179
Wisard,2025-01-22 23:19:22,0.3367,Linear,0.4685
Wisard,2025-01-22 23:19:23,0.6819,Linear,0.4769
Wisard,2025-01-22 23:19:23,1.0157,Linear,0.4769
Wisard,2025-01-22 23:19:23,1.3546,Linear,0.4629
Wisard,2025-01-22 23:19:24,1.6816,Linear,0.4429
Wisard,2025-01-22 23:19:24,2.0258,Linear,0.4620
