model,epoch,time,training_time,testing_time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
Wisard,1,2025-06-08 19:08:45,0.4511,0.4689,0.9199,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,2,2025-06-08 19:08:48,0.4447,0.4650,0.9097,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,3,2025-06-08 19:08:49,0.4448,0.4578,0.9026,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,4,2025-06-08 19:08:52,0.4417,0.5641,1.0058,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,1,2025-06-08 19:20:04,0.4468,0.4703,0.9171,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,2,2025-06-08 19:20:06,0.4404,0.4633,0.9036,Statlog (Shuttle),Distributive,1,1,99.8
Wisard,3,2025-06-08 19:20:08,0.4397,0.4708,0.9105,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,4,2025-06-08 19:20:10,0.4386,0.4747,0.9132,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,5,2025-06-08 19:20:12,0.4451,0.4704,0.9155,Statlog (Shuttle),Distributive,1,1,99.82
Wisard,6,2025-06-08 19:20:14,0.4423,0.4648,0.9071,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,7,2025-06-08 19:20:15,0.4438,0.4670,0.9108,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,8,2025-06-08 19:20:18,0.4422,0.4674,0.9096,Statlog (Shuttle),Distributive,1,1,99.81
Wisard,9,2025-06-08 19:20:19,0.4448,0.4647,0.9095,Statlog (Shuttle),Distributive,1,1,99.83
Wisard,10,2025-06-08 19:20:21,0.4436,0.4647,0.9083,Statlog (Shuttle),Distributive,1,1,99.8
Wisard,1,2025-06-08 19:20:23,0.4515,0.4808,0.9324,Statlog (Shuttle),Gaussian,1,1,99.83
Wisard,2,2025-06-08 19:20:25,0.4495,0.4803,0.9298,Statlog (Shuttle),Gaussian,1,1,99.84
Wisard,3,2025-06-08 19:20:28,0.4974,0.4805,0.9779,Statlog (Shuttle),Gaussian,1,1,99.84
Wisard,4,2025-06-08 19:20:29,0.4379,0.5176,0.9555,Statlog (Shuttle),Gaussian,1,1,99.83
Wisard,5,2025-06-08 19:20:32,0.4498,0.5064,0.9562,Statlog (Shuttle),Gaussian,1,1,99.83
Wisard,6,2025-06-08 19:20:34,0.4413,0.5047,0.9460,Statlog (Shuttle),Gaussian,1,1,99.84
Wisard,7,2025-06-08 19:20:36,0.4483,0.4853,0.9336,Statlog (Shuttle),Gaussian,1,1,99.83
Wisard,8,2025-06-08 19:20:38,0.4451,0.4824,0.9275,Statlog (Shuttle),Gaussian,1,1,99.84
Wisard,9,2025-06-08 19:20:40,0.4529,0.4935,0.9463,Statlog (Shuttle),Gaussian,1,1,99.84
Wisard,10,2025-06-08 19:20:43,0.4937,0.4855,0.9793,Statlog (Shuttle),Gaussian,1,1,99.83
