model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 22:17:29,0.2345,Distributive,,,80.48
Wisard,2025-01-22 22:17:29,0.2574,Gaussian,,,79.26
Wisard,2025-01-22 22:17:30,0.6050,Linear,,,72.98
Wisard,2025-01-22 22:17:37,7.1912,Scatter Code,10,20,74.96
Wisard,2025-01-22 22:19:14,0.2285,Distributive,,,80.13
Wisard,2025-01-22 22:19:14,0.2431,Gaussian,,,79.42
Wisard,2025-01-22 22:19:15,0.6218,Linear,,,75.81
Wisard,2025-01-22 22:19:26,10.7187,Scatter Code,10,20,75.86
Wisard,2025-01-22 22:21:53,0.2399,Distributive,,,78.28
Wisard,2025-01-22 22:21:53,0.2579,Gaussian,,,78.54
Wisard,2025-01-22 22:21:54,0.5223,Linear,,,77.82
Wisard,2025-01-22 22:22:08,14.9371,Scatter Code,10,40,72.67
Wisard,2025-01-22 22:25:20,0.2338,Distributive,,,79.09
Wisard,2025-01-22 22:25:20,0.2654,Gaussian,,,77.61
Wisard,2025-01-22 22:25:21,0.8987,Linear,,,75.54
Wisard,2025-01-22 22:25:43,21.3869,Scatter Code,10,60,73.23
Wisard,2025-01-22 22:29:35,0.2216,Distributive,,,80.38
Wisard,2025-01-22 22:29:36,0.2592,Gaussian,,,77.71
Wisard,2025-01-22 22:29:36,0.5366,Linear,,,77.16
Wisard,2025-01-22 22:30:07,30.8491,Scatter Code,10,80,73.92
Wisard,2025-01-22 22:34:57,0.2305,Distributive,,,78.25
Wisard,2025-01-22 22:34:57,0.2448,Gaussian,,,78.53
Wisard,2025-01-22 22:34:58,0.9122,Linear,,,77.66
Wisard,2025-01-22 22:35:35,36.9955,Scatter Code,10,100,74.37
Wisard,2025-01-22 22:40:52,0.3377,Distributive,,,77.9
Wisard,2025-01-22 22:40:53,0.5720,Gaussian,,,79.06
Wisard,2025-01-22 22:40:54,0.9232,Linear,,,76.83
Wisard,2025-01-22 22:41:42,48.3417,Scatter Code,10,120,74.34
Wisard,2025-01-22 22:47:59,0.2374,Distributive,,,78.52
Wisard,2025-01-22 22:47:59,0.2609,Gaussian,,,79.14
Wisard,2025-01-22 22:48:00,0.6616,Linear,,,71.52
Wisard,2025-01-22 22:48:44,44.6777,Scatter Code,10,140,75.8
Wisard,2025-01-22 22:55:13,0.3772,Distributive,,,81.41
Wisard,2025-01-22 22:55:13,0.4713,Gaussian,,,77.75
Wisard,2025-01-22 22:55:15,1.1801,Linear,,,74.68
Wisard,2025-01-22 22:56:05,50.8327,Scatter Code,10,160,72.71
Wisard,2025-01-22 23:03:22,0.2349,Distributive,,,78.91
Wisard,2025-01-22 23:03:22,0.2471,Gaussian,,,81.0
Wisard,2025-01-22 23:03:22,0.6379,Linear,,,76.48
Wisard,2025-01-22 23:04:22,59.8719,Scatter Code,10,180,75.14
Wisard,2025-01-22 23:12:28,0.2512,Distributive,,,79.96
Wisard,2025-01-22 23:12:29,0.2594,Gaussian,,,77.41
Wisard,2025-01-22 23:12:29,0.6499,Linear,,,76.31
Wisard,2025-01-22 23:13:35,65.3633,Scatter Code,10,200,75.57
Wisard,2025-01-22 23:15:12,0.3026,Distributive,,,79.5
Wisard,2025-01-22 23:15:13,0.4651,Gaussian,,,78.63
Wisard,2025-01-22 23:15:13,0.6598,Linear,,,76.41
Wisard,2025-01-22 23:15:19,5.8592,Scatter Code,20,20,73.89
Wisard,2025-01-22 23:17:37,0.2270,Distributive,,,79.22
Wisard,2025-01-22 23:17:38,0.2400,Gaussian,,,79.1
Wisard,2025-01-22 23:17:38,0.7071,Linear,,,74.51
Wisard,2025-01-22 23:17:49,10.3989,Scatter Code,20,40,71.29
Wisard,2025-01-22 23:20:58,0.2535,Distributive,,,79.16
Wisard,2025-01-22 23:20:59,0.2831,Gaussian,,,79.51
Wisard,2025-01-22 23:20:59,0.6870,Linear,,,77.63
Wisard,2025-01-22 23:21:16,16.8446,Scatter Code,20,60,69.12
Wisard,2025-01-23 13:26:23,0.4463,Distributive,,,79.83
Wisard,2025-01-23 13:26:23,0.4383,Distributive,,,77.78
Wisard,2025-01-23 13:26:24,0.4243,Distributive,,,77.78
Wisard,2025-01-23 13:26:24,0.4248,Distributive,,,78.93
Wisard,2025-01-23 13:26:25,0.4134,Distributive,,,78.93
Wisard,2025-01-23 13:26:25,0.4028,Distributive,,,80.57
Wisard,2025-01-23 13:26:25,0.3816,Distributive,,,80.57
