model,time,delta_time,encoding,num_slices,num_dimensions,accuracy
Wisard,2025-01-22 22:17:44,0.0033,Distributive,,,90.19
Wisard,2025-01-22 22:17:44,0.0036,Gaussian,,,82.71
Wisard,2025-01-22 22:17:44,0.0033,Linear,,,73.36
Wisard,2025-01-22 22:17:44,0.0129,Scatter Code,10,20,37.85
Wisard,2025-01-22 22:19:34,0.0048,Distributive,,,85.98
Wisard,2025-01-22 22:19:34,0.0038,Gaussian,,,81.78
Wisard,2025-01-22 22:19:34,0.0038,Linear,,,78.04
Wisard,2025-01-22 22:19:34,0.0131,Scatter Code,10,20,37.85
Wisard,2025-01-22 22:22:16,0.0037,Distributive,,,90.65
Wisard,2025-01-22 22:22:16,0.0037,Gaussian,,,84.11
Wisard,2025-01-22 22:22:16,0.0049,Linear,,,76.17
Wisard,2025-01-22 22:22:16,0.0235,Scatter Code,10,40,37.85
Wisard,2025-01-22 22:25:50,0.0038,Distributive,,,90.19
Wisard,2025-01-22 22:25:50,0.0032,Gaussian,,,85.05
Wisard,2025-01-22 22:25:50,0.0033,Linear,,,75.7
Wisard,2025-01-22 22:25:50,0.0326,Scatter Code,10,60,38.32
Wisard,2025-01-22 22:30:15,0.0037,Distributive,,,89.25
Wisard,2025-01-22 22:30:15,0.0033,Gaussian,,,84.58
Wisard,2025-01-22 22:30:15,0.0036,Linear,,,77.57
Wisard,2025-01-22 22:30:15,0.0452,Scatter Code,10,80,37.85
Wisard,2025-01-22 22:35:43,0.0038,Distributive,,,88.32
Wisard,2025-01-22 22:35:43,0.0032,Gaussian,,,86.45
Wisard,2025-01-22 22:35:43,0.0043,Linear,,,71.5
Wisard,2025-01-22 22:35:43,0.0512,Scatter Code,10,100,37.85
Wisard,2025-01-22 22:41:53,0.0061,Distributive,,,90.65
Wisard,2025-01-22 22:41:53,0.0044,Gaussian,,,83.18
Wisard,2025-01-22 22:41:53,0.0075,Linear,,,74.77
Wisard,2025-01-22 22:41:53,0.0844,Scatter Code,10,120,37.85
Wisard,2025-01-22 22:48:53,0.0051,Distributive,,,89.72
Wisard,2025-01-22 22:48:53,0.0032,Gaussian,,,87.38
Wisard,2025-01-22 22:48:53,0.0038,Linear,,,72.9
Wisard,2025-01-22 22:48:53,0.0725,Scatter Code,10,140,37.85
Wisard,2025-01-22 22:56:15,0.0035,Distributive,,,90.65
Wisard,2025-01-22 22:56:15,0.0032,Gaussian,,,86.45
Wisard,2025-01-22 22:56:15,0.0033,Linear,,,72.9
Wisard,2025-01-22 22:56:15,0.0827,Scatter Code,10,160,37.85
Wisard,2025-01-22 23:04:32,0.0033,Distributive,,,89.25
Wisard,2025-01-22 23:04:32,0.0036,Gaussian,,,83.64
Wisard,2025-01-22 23:04:32,0.0035,Linear,,,76.64
Wisard,2025-01-22 23:04:32,0.0925,Scatter Code,10,180,37.85
Wisard,2025-01-22 23:13:46,0.0039,Distributive,,,92.06
Wisard,2025-01-22 23:13:46,0.0040,Gaussian,,,87.38
Wisard,2025-01-22 23:13:46,0.0037,Linear,,,78.5
Wisard,2025-01-22 23:13:46,0.1216,Scatter Code,10,200,37.85
Wisard,2025-01-22 23:15:26,0.0071,Distributive,,,89.72
Wisard,2025-01-22 23:15:26,0.0042,Gaussian,,,82.71
Wisard,2025-01-22 23:15:26,0.0048,Linear,,,71.03
Wisard,2025-01-22 23:15:26,0.0159,Scatter Code,20,20,51.4
Wisard,2025-01-22 23:17:57,0.0038,Distributive,,,91.12
Wisard,2025-01-22 23:17:57,0.0032,Gaussian,,,85.51
Wisard,2025-01-22 23:17:57,0.0042,Linear,,,76.64
Wisard,2025-01-22 23:17:57,0.0191,Scatter Code,20,40,51.87
Wisard,2025-01-22 23:21:24,0.0045,Distributive,,,88.79
Wisard,2025-01-22 23:21:24,0.0037,Gaussian,,,84.11
Wisard,2025-01-22 23:21:24,0.0041,Linear,,,74.77
Wisard,2025-01-22 23:21:24,0.0285,Scatter Code,20,60,51.4
Wisard,2025-01-23 13:29:17,0.0063,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0075,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0075,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0090,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0073,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0070,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0070,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0068,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0074,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0112,Distributive,,,90.65
Wisard,2025-01-23 13:29:17,0.0075,Gaussian,,,84.58
Wisard,2025-01-23 13:29:17,0.0074,Gaussian,,,84.58
