model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:21:34,Distributive,89.72,0.0086
Wisard,2025-01-21 19:21:34,Gaussian,84.11,0.0067
Wisard,2025-01-21 19:21:34,Linear,77.1,0.0059
Wisard,2025-01-21 19:21:34,Scatter Code,38.32,0.0197
Wisard,2025-01-21 19:45:53,Distributive,89.72,0.0037
Wisard,2025-01-21 19:45:53,Gaussian,84.11,0.0038
Wisard,2025-01-21 19:45:53,Linear,77.1,0.0048
Wisard,2025-01-21 19:45:53,Scatter Code,38.32,0.0161
Wisard,2025-01-21 19:48:15,Distributive,89.72,0.0088
Wisard,2025-01-21 19:48:15,Gaussian,84.11,0.0074
Wisard,2025-01-21 19:48:15,Linear,77.1,0.0062
Wisard,2025-01-21 19:48:15,Scatter Code,37.85,0.0202
Wisard,2025-01-21 19:51:39,Distributive,89.72,0.0079
Wisard,2025-01-21 19:51:39,Gaussian,84.11,0.0068
Wisard,2025-01-21 19:51:39,Linear,77.1,0.0065
Wisard,2025-01-21 19:51:39,Scatter Code,38.32,0.0198
Wisard,2025-01-21 20:02:15,Distributive,89.72,0.0068
Wisard,2025-01-21 20:02:15,Gaussian,84.11,0.0060
Wisard,2025-01-21 20:02:15,Linear,77.1,0.0060
Wisard,2025-01-21 20:02:15,Scatter Code,38.32,0.0183
Wisard,2025-01-21 21:53:50,Distributive,89.72,0.0039
Wisard,2025-01-21 21:53:50,Gaussian,84.11,0.0043
Wisard,2025-01-21 21:53:50,Linear,77.1,0.0037
Wisard,2025-01-21 21:53:50,Scatter Code,37.85,0.0134
Wisard,2025-01-21 21:56:15,Distributive,89.72,0.0069
Wisard,2025-01-21 21:56:15,Gaussian,84.11,0.0065
Wisard,2025-01-21 21:56:15,Linear,77.1,0.0059
Wisard,2025-01-21 21:56:15,Scatter Code,37.85,0.0203
Wisard,2025-01-21 21:57:53,Distributive,89.72,0.0064
Wisard,2025-01-21 21:57:53,Gaussian,84.11,0.0064
Wisard,2025-01-21 21:57:53,Linear,77.1,0.0063
Wisard,2025-01-21 21:57:53,Scatter Code,37.85,0.0198
Wisard,2025-01-21 21:59:35,Distributive,89.72,0.0075
Wisard,2025-01-21 21:59:35,Gaussian,84.11,0.0066
Wisard,2025-01-21 21:59:35,Linear,77.1,0.0069
Wisard,2025-01-21 21:59:35,Scatter Code,38.32,0.0198
Wisard,2025-01-21 22:01:26,Distributive,89.72,0.0086
Wisard,2025-01-21 22:01:26,Gaussian,84.11,0.0073
Wisard,2025-01-21 22:01:26,Linear,77.1,0.0063
Wisard,2025-01-21 22:01:26,Scatter Code,38.32,0.0198
Wisard,2025-01-21 22:03:11,Distributive,89.72,0.0064
Wisard,2025-01-21 22:03:11,Gaussian,84.11,0.0059
Wisard,2025-01-21 22:03:11,Linear,77.1,0.0056
Wisard,2025-01-21 22:03:11,Scatter Code,38.32,0.0183
Wisard,2025-01-21 22:04:55,Distributive,89.72,0.0064
Wisard,2025-01-21 22:04:55,Gaussian,84.11,0.0060
Wisard,2025-01-21 22:04:55,Linear,77.1,0.0057
Wisard,2025-01-21 22:04:55,Scatter Code,38.32,0.0182
Wisard,2025-01-21 22:06:38,Distributive,89.72,0.0077
Wisard,2025-01-21 22:06:38,Gaussian,84.11,0.0066
Wisard,2025-01-21 22:06:38,Linear,77.1,0.0057
Wisard,2025-01-21 22:06:38,Scatter Code,38.32,0.0190
Wisard,2025-01-21 22:08:21,Distributive,89.72,0.0062
Wisard,2025-01-21 22:08:21,Gaussian,84.11,0.0086
Wisard,2025-01-21 22:08:21,Linear,77.1,0.0114
Wisard,2025-01-21 22:08:21,Scatter Code,38.32,0.0391
Wisard,2025-01-21 22:10:07,Distributive,89.72,0.0082
Wisard,2025-01-21 22:10:07,Gaussian,84.11,0.0071
Wisard,2025-01-21 22:10:07,Linear,77.1,0.0071
Wisard,2025-01-21 22:10:07,Scatter Code,37.85,0.0199
Wisard,2025-01-21 22:11:55,Distributive,89.72,0.0084
Wisard,2025-01-21 22:11:55,Gaussian,84.11,0.0072
Wisard,2025-01-21 22:11:55,Linear,77.1,0.0063
Wisard,2025-01-21 22:11:55,Scatter Code,38.32,0.0219
Wisard,2025-01-21 22:13:47,Distributive,89.72,0.0092
Wisard,2025-01-21 22:13:47,Gaussian,84.11,0.0066
Wisard,2025-01-21 22:13:47,Linear,77.1,0.0060
Wisard,2025-01-21 22:13:47,Scatter Code,38.32,0.0192
Wisard,2025-01-21 22:15:35,Distributive,89.72,0.0200
Wisard,2025-01-21 22:15:35,Gaussian,84.11,0.0065
Wisard,2025-01-21 22:15:35,Linear,77.1,0.0036
Wisard,2025-01-21 22:15:35,Scatter Code,37.85,0.0179
Wisard,2025-01-21 22:17:24,Distributive,89.72,0.0062
Wisard,2025-01-21 22:17:24,Gaussian,84.11,0.0062
Wisard,2025-01-21 22:17:24,Linear,77.1,0.0070
Wisard,2025-01-21 22:17:24,Scatter Code,38.32,0.0205
Wisard,2025-01-21 22:19:20,Distributive,89.72,0.0048
Wisard,2025-01-21 22:19:20,Gaussian,84.11,0.0041
Wisard,2025-01-21 22:19:20,Linear,77.1,0.0038
Wisard,2025-01-21 22:19:20,Scatter Code,37.85,0.0162
Wisard,2025-01-21 22:21:16,Distributive,89.72,0.0076
Wisard,2025-01-21 22:21:16,Gaussian,84.11,0.0055
Wisard,2025-01-21 22:21:16,Linear,77.1,0.0054
Wisard,2025-01-21 22:21:16,Scatter Code,38.32,0.0168
Wisard,2025-01-21 22:23:05,Distributive,89.72,0.0092
Wisard,2025-01-21 22:23:05,Gaussian,84.11,0.0071
Wisard,2025-01-21 22:23:05,Linear,77.1,0.0060
Wisard,2025-01-21 22:23:05,Scatter Code,38.32,0.0198
Wisard,2025-01-21 22:24:49,Distributive,89.72,0.0077
Wisard,2025-01-21 22:24:49,Gaussian,84.11,0.0095
Wisard,2025-01-21 22:24:49,Linear,77.1,0.0079
Wisard,2025-01-21 22:24:49,Scatter Code,38.32,0.0195
Wisard,2025-01-21 22:26:37,Distributive,89.72,0.0104
Wisard,2025-01-21 22:26:37,Gaussian,84.11,0.0078
Wisard,2025-01-21 22:26:37,Linear,77.1,0.0059
Wisard,2025-01-21 22:26:37,Scatter Code,37.85,0.0189
Wisard,2025-01-21 22:28:24,Distributive,89.72,0.0092
Wisard,2025-01-21 22:28:24,Gaussian,84.11,0.0038
Wisard,2025-01-21 22:28:24,Linear,77.1,0.0069
Wisard,2025-01-21 22:28:24,Scatter Code,37.85,0.0137
Wisard,2025-01-21 22:30:16,Distributive,89.72,0.0053
Wisard,2025-01-21 22:30:16,Gaussian,84.11,0.0052
Wisard,2025-01-21 22:30:16,Linear,77.1,0.0047
Wisard,2025-01-21 22:30:16,Scatter Code,37.38,0.0167
