model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:19:56,Distributive,98.0,0.0044
Wisard,2025-01-21 19:19:56,Gaussian,96.67,0.0036
Wisard,2025-01-21 19:19:56,Linear,99.33,0.0032
Wisard,2025-01-21 19:19:56,Scatter Code,92.0,0.0053
Wisard,2025-01-21 19:44:11,Distributive,98.0,0.0043
Wisard,2025-01-21 19:44:11,Gaussian,96.67,0.0042
Wisard,2025-01-21 19:44:11,Linear,99.33,0.0032
Wisard,2025-01-21 19:44:11,Scatter Code,91.33,0.0048
Wisard,2025-01-21 19:46:42,Distributive,98.0,0.0024
Wisard,2025-01-21 19:46:42,Gaussian,96.67,0.0029
Wisard,2025-01-21 19:46:42,Linear,99.33,0.0029
Wisard,2025-01-21 19:46:42,Scatter Code,93.33,0.0028
Wisard,2025-01-21 19:49:59,Distributive,98.0,0.0022
Wisard,2025-01-21 19:49:59,Gaussian,96.67,0.0027
Wisard,2025-01-21 19:49:59,Linear,99.33,0.0027
Wisard,2025-01-21 19:49:59,Scatter Code,89.33,0.0037
Wisard,2025-01-21 19:56:38,Distributive,98.0,0.0046
Wisard,2025-01-21 19:56:38,Gaussian,96.67,0.0022
Wisard,2025-01-21 19:56:38,Linear,99.33,0.0023
Wisard,2025-01-21 19:56:38,Scatter Code,91.33,0.0031
Wisard,2025-01-21 21:52:17,Distributive,98.0,0.0032
Wisard,2025-01-21 21:52:17,Gaussian,96.67,0.0028
Wisard,2025-01-21 21:52:17,Linear,99.33,0.0033
Wisard,2025-01-21 21:52:17,Scatter Code,93.33,0.0039
Wisard,2025-01-21 21:54:41,Distributive,98.0,0.0027
Wisard,2025-01-21 21:54:41,Gaussian,96.67,0.0018
Wisard,2025-01-21 21:54:41,Linear,99.33,0.0021
Wisard,2025-01-21 21:54:41,Scatter Code,90.67,0.0027
Wisard,2025-01-21 21:56:22,Distributive,98.0,0.0034
Wisard,2025-01-21 21:56:22,Gaussian,96.67,0.0032
Wisard,2025-01-21 21:56:22,Linear,99.33,0.0032
Wisard,2025-01-21 21:56:22,Scatter Code,94.67,0.0047
Wisard,2025-01-21 21:58:01,Distributive,98.0,0.0027
Wisard,2025-01-21 21:58:01,Gaussian,96.67,0.0025
Wisard,2025-01-21 21:58:01,Linear,99.33,0.0025
