model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:21:17,Distributive,80.48,0.2280
Wisard,2025-01-21 19:21:18,Gaussian,79.26,0.2567
Wisard,2025-01-21 19:21:18,Linear,72.98,0.6065
Wisard,2025-01-21 19:21:29,Scatter Code,73.42,10.7459
Wisard,2025-01-21 19:45:36,Distributive,80.48,0.2442
Wisard,2025-01-21 19:45:37,Gaussian,79.26,0.2673
Wisard,2025-01-21 19:45:37,Linear,72.98,0.6420
Wisard,2025-01-21 19:45:49,Scatter Code,75.36,11.1525
Wisard,2025-01-21 19:48:02,Distributive,80.48,0.2331
Wisard,2025-01-21 19:48:02,Gaussian,79.26,0.2527
Wisard,2025-01-21 19:48:03,Linear,72.98,0.6057
Wisard,2025-01-21 19:48:09,Scatter Code,73.71,6.1673
Wisard,2025-01-21 19:51:24,Distributive,80.48,0.2288
Wisard,2025-01-21 19:51:24,Gaussian,79.26,0.2568
Wisard,2025-01-21 19:51:25,Linear,72.98,0.6034
Wisard,2025-01-21 19:51:35,Scatter Code,68.61,10.0618
Wisard,2025-01-21 20:02:00,Distributive,80.48,0.2279
Wisard,2025-01-21 20:02:00,Gaussian,79.26,0.2581
Wisard,2025-01-21 20:02:01,Linear,72.98,0.5996
Wisard,2025-01-21 20:02:10,Scatter Code,69.89,9.0169
Wisard,2025-01-21 21:53:33,Distributive,80.48,0.2275
Wisard,2025-01-21 21:53:34,Gaussian,79.26,0.2606
Wisard,2025-01-21 21:53:34,Linear,72.98,0.6260
Wisard,2025-01-21 21:53:42,Scatter Code,75.23,8.0911
Wisard,2025-01-21 21:56:00,Distributive,80.48,0.2248
Wisard,2025-01-21 21:56:00,Gaussian,79.26,0.2565
Wisard,2025-01-21 21:56:01,Linear,72.98,0.6118
Wisard,2025-01-21 21:56:10,Scatter Code,74.1,9.6898
Wisard,2025-01-21 21:57:39,Distributive,80.48,0.2381
Wisard,2025-01-21 21:57:40,Gaussian,79.26,0.2593
Wisard,2025-01-21 21:57:40,Linear,72.98,0.6043
Wisard,2025-01-21 21:57:48,Scatter Code,75.68,8.2468
Wisard,2025-01-21 21:59:18,Distributive,80.48,0.2294
Wisard,2025-01-21 21:59:18,Gaussian,79.26,0.2577
Wisard,2025-01-21 21:59:19,Linear,72.98,0.6098
Wisard,2025-01-21 21:59:26,Scatter Code,74.48,7.3998
Wisard,2025-01-21 22:01:11,Distributive,80.48,0.2371
Wisard,2025-01-21 22:01:11,Gaussian,79.26,0.2580
Wisard,2025-01-21 22:01:12,Linear,72.98,0.6118
Wisard,2025-01-21 22:01:21,Scatter Code,72.98,8.9596
Wisard,2025-01-21 22:02:56,Distributive,80.48,0.2356
Wisard,2025-01-21 22:02:56,Gaussian,79.26,0.2575
Wisard,2025-01-21 22:02:57,Linear,72.98,0.6128
Wisard,2025-01-21 22:03:06,Scatter Code,73.52,9.4905
Wisard,2025-01-21 22:04:40,Distributive,80.48,0.2297
Wisard,2025-01-21 22:04:40,Gaussian,79.26,0.2527
Wisard,2025-01-21 22:04:41,Linear,72.98,0.6015
Wisard,2025-01-21 22:04:50,Scatter Code,72.47,9.8669
Wisard,2025-01-21 22:06:24,Distributive,80.48,0.2339
Wisard,2025-01-21 22:06:25,Gaussian,79.26,0.2537
Wisard,2025-01-21 22:06:25,Linear,72.98,0.6079
Wisard,2025-01-21 22:06:33,Scatter Code,75.56,7.6172
Wisard,2025-01-21 22:08:07,Distributive,80.48,0.2378
Wisard,2025-01-21 22:08:08,Gaussian,79.26,0.2584
Wisard,2025-01-21 22:08:08,Linear,72.98,0.6666
Wisard,2025-01-21 22:08:16,Scatter Code,72.48,7.7772
Wisard,2025-01-21 22:09:53,Distributive,80.48,0.2326
Wisard,2025-01-21 22:09:54,Gaussian,79.26,0.2551
Wisard,2025-01-21 22:09:54,Linear,72.98,0.6030
Wisard,2025-01-21 22:10:02,Scatter Code,73.44,7.7787
Wisard,2025-01-21 22:11:39,Distributive,80.48,0.2299
Wisard,2025-01-21 22:11:40,Gaussian,79.26,0.2554
Wisard,2025-01-21 22:11:40,Linear,72.98,0.6089
Wisard,2025-01-21 22:11:50,Scatter Code,74.56,9.9002
Wisard,2025-01-21 22:13:34,Distributive,80.48,0.2326
Wisard,2025-01-21 22:13:34,Gaussian,79.26,0.2736
Wisard,2025-01-21 22:13:35,Linear,72.98,0.6831
Wisard,2025-01-21 22:13:42,Scatter Code,73.8,7.6085
Wisard,2025-01-21 22:15:21,Distributive,80.48,0.4035
Wisard,2025-01-21 22:15:21,Gaussian,79.26,0.3128
Wisard,2025-01-21 22:15:22,Linear,72.98,0.6305
Wisard,2025-01-21 22:15:30,Scatter Code,74.09,7.9582
Wisard,2025-01-21 22:17:11,Distributive,80.48,0.2337
Wisard,2025-01-21 22:17:11,Gaussian,79.26,0.2611
Wisard,2025-01-21 22:17:12,Linear,72.98,0.6064
Wisard,2025-01-21 22:17:20,Scatter Code,73.55,7.5008
Wisard,2025-01-21 22:19:04,Distributive,80.48,0.2243
Wisard,2025-01-21 22:19:04,Gaussian,79.26,0.2540
Wisard,2025-01-21 22:19:05,Linear,72.98,0.6036
Wisard,2025-01-21 22:19:16,Scatter Code,73.79,10.9005
Wisard,2025-01-21 22:21:00,Distributive,80.48,0.2299
Wisard,2025-01-21 22:21:00,Gaussian,79.26,0.3459
Wisard,2025-01-21 22:21:01,Linear,72.98,0.6262
Wisard,2025-01-21 22:21:11,Scatter Code,72.88,10.2952
Wisard,2025-01-21 22:22:49,Distributive,80.48,0.2528
Wisard,2025-01-21 22:22:50,Gaussian,79.26,0.2717
Wisard,2025-01-21 22:22:50,Linear,72.98,0.6286
Wisard,2025-01-21 22:23:01,Scatter Code,74.2,10.2975
Wisard,2025-01-21 22:24:34,Distributive,80.48,0.2274
Wisard,2025-01-21 22:24:34,Gaussian,79.26,0.2530
Wisard,2025-01-21 22:24:35,Linear,72.98,0.6058
Wisard,2025-01-21 22:24:44,Scatter Code,68.07,9.3225
Wisard,2025-01-21 22:26:24,Distributive,80.48,0.3001
Wisard,2025-01-21 22:26:24,Gaussian,79.26,0.2675
Wisard,2025-01-21 22:26:25,Linear,72.98,0.6197
Wisard,2025-01-21 22:26:33,Scatter Code,73.84,8.0001
Wisard,2025-01-21 22:28:09,Distributive,80.48,0.2840
Wisard,2025-01-21 22:28:09,Gaussian,79.26,0.2871
Wisard,2025-01-21 22:28:10,Linear,72.98,0.6768
Wisard,2025-01-21 22:28:19,Scatter Code,74.77,9.3899
Wisard,2025-01-21 22:29:56,Distributive,80.48,0.2407
Wisard,2025-01-21 22:29:56,Gaussian,79.26,0.2930
Wisard,2025-01-21 22:29:57,Linear,72.98,0.6071
Wisard,2025-01-21 22:30:08,Scatter Code,72.95,11.2096
