model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:21:32,Distributive,78.5,0.0189
Wisard,2025-01-21 19:21:32,Gaussian,75.54,0.0167
Wisard,2025-01-21 19:21:32,Linear,71.01,0.0117
Wisard,2025-01-21 19:21:32,Scatter Code,57.4,0.0309
Wisard,2025-01-21 19:45:52,Distributive,78.5,0.0104
Wisard,2025-01-21 19:45:52,Gaussian,75.54,0.0107
Wisard,2025-01-21 19:45:52,Linear,71.01,0.0109
Wisard,2025-01-21 19:45:52,Scatter Code,62.33,0.0245
Wisard,2025-01-21 19:48:14,Distributive,78.5,0.0264
Wisard,2025-01-21 19:48:14,Gaussian,75.54,0.0142
Wisard,2025-01-21 19:48:14,Linear,71.01,0.0171
Wisard,2025-01-21 19:48:14,Scatter Code,57.3,0.0267
Wisard,2025-01-21 19:51:38,Distributive,78.5,0.0124
Wisard,2025-01-21 19:51:38,Gaussian,75.54,0.0121
Wisard,2025-01-21 19:51:38,Linear,71.01,0.0103
Wisard,2025-01-21 19:51:38,Scatter Code,54.34,0.0250
Wisard,2025-01-21 20:02:13,Distributive,78.5,0.0189
Wisard,2025-01-21 20:02:13,Gaussian,75.54,0.0146
Wisard,2025-01-21 20:02:13,Linear,71.01,0.0124
Wisard,2025-01-21 20:02:13,Scatter Code,61.44,0.0268
Wisard,2025-01-21 21:53:49,Distributive,78.5,0.0137
Wisard,2025-01-21 21:53:49,Gaussian,75.54,0.0116
Wisard,2025-01-21 21:53:49,Linear,71.01,0.0135
Wisard,2025-01-21 21:53:49,Scatter Code,57.2,0.0229
Wisard,2025-01-21 21:56:14,Distributive,78.5,0.0185
Wisard,2025-01-21 21:56:14,Gaussian,75.54,0.0164
Wisard,2025-01-21 21:56:14,Linear,71.01,0.0147
Wisard,2025-01-21 21:56:14,Scatter Code,53.65,0.0267
Wisard,2025-01-21 21:57:52,Distributive,78.5,0.0175
Wisard,2025-01-21 21:57:52,Gaussian,75.54,0.0146
Wisard,2025-01-21 21:57:52,Linear,71.01,0.0126
Wisard,2025-01-21 21:57:52,Scatter Code,59.37,0.0266
Wisard,2025-01-21 21:59:34,Distributive,78.5,0.0204
Wisard,2025-01-21 21:59:34,Gaussian,75.54,0.0155
Wisard,2025-01-21 21:59:34,Linear,71.01,0.0129
Wisard,2025-01-21 21:59:34,Scatter Code,53.75,0.0277
Wisard,2025-01-21 22:01:24,Distributive,78.5,0.0168
Wisard,2025-01-21 22:01:24,Gaussian,75.54,0.0163
Wisard,2025-01-21 22:01:24,Linear,71.01,0.0135
Wisard,2025-01-21 22:01:24,Scatter Code,61.24,0.0275
Wisard,2025-01-21 22:03:10,Distributive,78.5,0.0195
Wisard,2025-01-21 22:03:10,Gaussian,75.54,0.0152
Wisard,2025-01-21 22:03:10,Linear,71.01,0.0168
Wisard,2025-01-21 22:03:10,Scatter Code,56.8,0.0250
Wisard,2025-01-21 22:04:54,Distributive,78.5,0.0146
Wisard,2025-01-21 22:04:54,Gaussian,75.54,0.0115
Wisard,2025-01-21 22:04:54,Linear,71.01,0.0105
Wisard,2025-01-21 22:04:54,Scatter Code,58.09,0.0238
Wisard,2025-01-21 22:06:36,Distributive,78.5,0.0188
Wisard,2025-01-21 22:06:36,Gaussian,75.54,0.0170
Wisard,2025-01-21 22:06:36,Linear,71.01,0.0128
Wisard,2025-01-21 22:06:36,Scatter Code,60.95,0.0260
Wisard,2025-01-21 22:08:19,Distributive,78.5,0.0187
Wisard,2025-01-21 22:08:20,Gaussian,75.54,0.0154
Wisard,2025-01-21 22:08:20,Linear,71.01,0.0127
Wisard,2025-01-21 22:08:20,Scatter Code,58.97,0.0254
Wisard,2025-01-21 22:10:05,Distributive,78.5,0.0222
Wisard,2025-01-21 22:10:05,Gaussian,75.54,0.0158
Wisard,2025-01-21 22:10:06,Linear,71.01,0.0126
Wisard,2025-01-21 22:10:06,Scatter Code,54.54,0.0272
Wisard,2025-01-21 22:11:53,Distributive,78.5,0.0182
Wisard,2025-01-21 22:11:53,Gaussian,75.54,0.0168
Wisard,2025-01-21 22:11:53,Linear,71.01,0.0120
Wisard,2025-01-21 22:11:54,Scatter Code,58.19,0.0254
Wisard,2025-01-21 22:13:46,Distributive,78.5,0.0124
Wisard,2025-01-21 22:13:46,Gaussian,75.54,0.0109
Wisard,2025-01-21 22:13:46,Linear,71.01,0.0122
Wisard,2025-01-21 22:13:46,Scatter Code,56.41,0.0355
Wisard,2025-01-21 22:15:33,Distributive,78.5,0.0092
Wisard,2025-01-21 22:15:33,Gaussian,75.54,0.0096
Wisard,2025-01-21 22:15:34,Linear,71.01,0.0097
Wisard,2025-01-21 22:15:34,Scatter Code,56.11,0.0286
