model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:21:31,Distributive,88.77,0.0216
Wisard,2025-01-21 19:21:31,Gaussian,83.81,0.0178
Wisard,2025-01-21 19:21:31,Linear,63.36,0.0200
Wisard,2025-01-21 19:21:31,Scatter Code,25.06,0.4016
Wisard,2025-01-21 19:45:50,Distributive,88.77,0.0207
Wisard,2025-01-21 19:45:50,Gaussian,83.81,0.0202
Wisard,2025-01-21 19:45:50,Linear,63.36,0.0257
Wisard,2025-01-21 19:45:50,Scatter Code,25.06,0.3587
Wisard,2025-01-21 19:48:11,Distributive,88.77,0.0290
Wisard,2025-01-21 19:48:11,Gaussian,83.81,0.0208
Wisard,2025-01-21 19:48:11,Linear,63.36,0.0201
Wisard,2025-01-21 19:48:11,Scatter Code,25.06,0.3501
Wisard,2025-01-21 19:51:36,Distributive,88.77,0.0282
Wisard,2025-01-21 19:51:36,Gaussian,83.81,0.0197
Wisard,2025-01-21 19:51:36,Linear,63.36,0.0200
Wisard,2025-01-21 19:51:37,Scatter Code,25.06,0.3428
Wisard,2025-01-21 20:02:12,Distributive,88.77,0.0288
Wisard,2025-01-21 20:02:12,Gaussian,83.81,0.0208
Wisard,2025-01-21 20:02:12,Linear,63.36,0.0203
Wisard,2025-01-21 20:02:12,Scatter Code,25.06,0.3447
Wisard,2025-01-21 21:53:47,Distributive,88.77,0.0302
Wisard,2025-01-21 21:53:47,Gaussian,83.81,0.0208
Wisard,2025-01-21 21:53:47,Linear,63.36,0.0213
Wisard,2025-01-21 21:53:47,Scatter Code,25.06,0.3508
Wisard,2025-01-21 21:56:12,Distributive,88.77,0.0335
Wisard,2025-01-21 21:56:12,Gaussian,83.81,0.0208
Wisard,2025-01-21 21:56:12,Linear,63.36,0.0222
Wisard,2025-01-21 21:56:12,Scatter Code,25.06,0.3580
Wisard,2025-01-21 21:57:50,Distributive,88.77,0.0242
Wisard,2025-01-21 21:57:50,Gaussian,83.81,0.0179
Wisard,2025-01-21 21:57:50,Linear,63.36,0.0219
Wisard,2025-01-21 21:57:50,Scatter Code,25.06,0.3501
Wisard,2025-01-21 21:59:32,Distributive,88.77,0.0308
Wisard,2025-01-21 21:59:32,Gaussian,83.81,0.0214
Wisard,2025-01-21 21:59:32,Linear,63.36,0.0206
Wisard,2025-01-21 21:59:32,Scatter Code,25.06,0.3523
Wisard,2025-01-21 22:01:23,Distributive,88.77,0.0293
Wisard,2025-01-21 22:01:23,Gaussian,83.81,0.0238
Wisard,2025-01-21 22:01:23,Linear,63.36,0.0218
Wisard,2025-01-21 22:01:23,Scatter Code,25.06,0.3643
Wisard,2025-01-21 22:03:08,Distributive,88.77,0.0276
Wisard,2025-01-21 22:03:08,Gaussian,83.81,0.0218
Wisard,2025-01-21 22:03:08,Linear,63.36,0.0201
Wisard,2025-01-21 22:03:08,Scatter Code,25.06,0.3591
Wisard,2025-01-21 22:04:52,Distributive,88.77,0.0317
Wisard,2025-01-21 22:04:52,Gaussian,83.81,0.0314
Wisard,2025-01-21 22:04:52,Linear,63.36,0.0246
Wisard,2025-01-21 22:04:53,Scatter Code,25.06,0.4979
Wisard,2025-01-21 22:06:35,Distributive,88.77,0.0288
Wisard,2025-01-21 22:06:35,Gaussian,83.81,0.0203
Wisard,2025-01-21 22:06:35,Linear,63.36,0.0198
Wisard,2025-01-21 22:06:35,Scatter Code,25.06,0.3464
Wisard,2025-01-21 22:08:18,Distributive,88.77,0.0316
Wisard,2025-01-21 22:08:18,Gaussian,83.81,0.0400
Wisard,2025-01-21 22:08:18,Linear,63.36,0.0353
Wisard,2025-01-21 22:08:18,Scatter Code,25.06,0.5068
Wisard,2025-01-21 22:10:04,Distributive,88.77,0.0297
Wisard,2025-01-21 22:10:04,Gaussian,83.81,0.0200
Wisard,2025-01-21 22:10:04,Linear,63.36,0.0201
Wisard,2025-01-21 22:10:04,Scatter Code,25.06,0.3465
Wisard,2025-01-21 22:11:52,Distributive,88.77,0.0274
Wisard,2025-01-21 22:11:52,Gaussian,83.81,0.0221
Wisard,2025-01-21 22:11:52,Linear,63.36,0.0202
Wisard,2025-01-21 22:11:52,Scatter Code,25.06,0.3508
Wisard,2025-01-21 22:13:44,Distributive,88.77,0.0326
Wisard,2025-01-21 22:13:44,Gaussian,83.81,0.0206
Wisard,2025-01-21 22:13:44,Linear,63.36,0.0208
Wisard,2025-01-21 22:13:45,Scatter Code,25.06,0.3660
Wisard,2025-01-21 22:15:31,Distributive,88.77,0.0316
Wisard,2025-01-21 22:15:31,Gaussian,83.81,0.0176
Wisard,2025-01-21 22:15:32,Linear,63.36,0.0201
Wisard,2025-01-21 22:15:32,Scatter Code,25.06,0.3597
Wisard,2025-01-21 22:17:21,Distributive,88.77,0.0273
Wisard,2025-01-21 22:17:21,Gaussian,83.81,0.0198
Wisard,2025-01-21 22:17:21,Linear,63.36,0.0207
Wisard,2025-01-21 22:17:21,Scatter Code,25.06,0.3593
Wisard,2025-01-21 22:19:17,Distributive,88.77,0.0285
Wisard,2025-01-21 22:19:17,Gaussian,83.81,0.0207
Wisard,2025-01-21 22:19:17,Linear,63.36,0.0201
Wisard,2025-01-21 22:19:18,Scatter Code,25.06,0.3450
Wisard,2025-01-21 22:21:13,Distributive,88.77,0.0204
Wisard,2025-01-21 22:21:13,Gaussian,83.81,0.0179
Wisard,2025-01-21 22:21:13,Linear,63.36,0.0207
Wisard,2025-01-21 22:21:13,Scatter Code,25.06,0.3553
Wisard,2025-01-21 22:23:02,Distributive,88.77,0.0202
Wisard,2025-01-21 22:23:02,Gaussian,83.81,0.0183
Wisard,2025-01-21 22:23:02,Linear,63.36,0.0208
Wisard,2025-01-21 22:23:02,Scatter Code,25.06,0.3527
Wisard,2025-01-21 22:24:46,Distributive,88.77,0.0282
Wisard,2025-01-21 22:24:46,Gaussian,83.81,0.0217
Wisard,2025-01-21 22:24:46,Linear,63.36,0.0213
Wisard,2025-01-21 22:24:46,Scatter Code,25.06,0.3449
Wisard,2025-01-21 22:26:34,Distributive,88.77,0.0193
Wisard,2025-01-21 22:26:34,Gaussian,83.81,0.0176
Wisard,2025-01-21 22:26:34,Linear,63.36,0.0204
Wisard,2025-01-21 22:26:35,Scatter Code,25.06,0.3477
Wisard,2025-01-21 22:28:21,Distributive,88.77,0.0262
Wisard,2025-01-21 22:28:21,Gaussian,83.81,0.0207
Wisard,2025-01-21 22:28:21,Linear,63.36,0.0224
Wisard,2025-01-21 22:28:21,Scatter Code,25.06,0.3467
Wisard,2025-01-21 22:30:10,Distributive,88.77,0.0262
Wisard,2025-01-21 22:30:10,Gaussian,83.81,0.0207
Wisard,2025-01-21 22:30:10,Linear,63.36,0.0216
Wisard,2025-01-21 22:30:10,Scatter Code,25.06,0.3503
