model,time,encoding,accuracy,delta_time
Wisard,2025-01-21 19:19:59,Distributive,62.74,0.1237
Wisard,2025-01-21 19:19:59,Gaussian,60.8,0.1118
Wisard,2025-01-21 19:19:59,Linear,46.91,0.3651
Wisard,2025-01-21 19:20:04,Scatter Code,44.33,4.8645
Wisard,2025-01-21 19:44:14,Distributive,62.74,0.1323
Wisard,2025-01-21 19:44:14,Gaussian,60.8,0.1293
Wisard,2025-01-21 19:44:14,Linear,46.91,0.3840
Wisard,2025-01-21 19:44:19,Scatter Code,34.75,5.4277
Wisard,2025-01-21 19:46:44,Distributive,62.74,0.1222
Wisard,2025-01-21 19:46:45,Gaussian,60.8,0.1154
Wisard,2025-01-21 19:46:45,Linear,46.91,0.3806
Wisard,2025-01-21 19:46:49,Scatter Code,40.73,3.8246
Wisard,2025-01-21 19:50:02,Distributive,62.74,0.3794
Wisard,2025-01-21 19:50:02,Gaussian,60.8,0.2208
Wisard,2025-01-21 19:50:02,Linear,46.91,0.6027
Wisard,2025-01-21 19:50:07,Scatter Code,44.02,4.5911
Wisard,2025-01-21 19:56:41,Distributive,62.74,0.1228
Wisard,2025-01-21 19:56:41,Gaussian,60.8,0.1154
Wisard,2025-01-21 19:56:41,Linear,46.91,0.3640
Wisard,2025-01-21 19:56:46,Scatter Code,42.22,5.3109
Wisard,2025-01-21 21:52:19,Distributive,62.74,0.1288
Wisard,2025-01-21 21:52:19,Gaussian,60.8,0.1143
Wisard,2025-01-21 21:52:19,Linear,46.91,0.3689
Wisard,2025-01-21 21:52:24,Scatter Code,36.32,4.2980
Wisard,2025-01-21 21:54:44,Distributive,62.74,0.1204
Wisard,2025-01-21 21:54:44,Gaussian,60.8,0.1128
Wisard,2025-01-21 21:54:44,Linear,46.91,0.3786
Wisard,2025-01-21 21:54:49,Scatter Code,39.97,4.2169
Wisard,2025-01-21 21:56:24,Distributive,62.74,0.1217
Wisard,2025-01-21 21:56:24,Gaussian,60.8,0.1138
Wisard,2025-01-21 21:56:25,Linear,46.91,0.3704
Wisard,2025-01-21 21:56:29,Scatter Code,41.9,4.0765
Wisard,2025-01-21 21:58:03,Distributive,62.74,0.1164
Wisard,2025-01-21 21:58:03,Gaussian,60.8,0.1123
Wisard,2025-01-21 21:58:03,Linear,46.91,0.3688
Wisard,2025-01-21 21:58:07,Scatter Code,41.77,4.0823
Wisard,2025-01-21 21:59:45,Distributive,62.74,0.1256
Wisard,2025-01-21 21:59:45,Gaussian,60.8,0.1121
Wisard,2025-01-21 21:59:46,Linear,46.91,0.3693
Wisard,2025-01-21 21:59:51,Scatter Code,44.31,5.5307
Wisard,2025-01-21 22:01:36,Distributive,62.74,0.1266
Wisard,2025-01-21 22:01:36,Gaussian,60.8,0.1132
Wisard,2025-01-21 22:01:36,Linear,46.91,0.3689
Wisard,2025-01-21 22:01:41,Scatter Code,44.5,4.7338
Wisard,2025-01-21 22:03:21,Distributive,62.74,0.1245
Wisard,2025-01-21 22:03:21,Gaussian,60.8,0.1119
Wisard,2025-01-21 22:03:22,Linear,46.91,0.3650
Wisard,2025-01-21 22:03:26,Scatter Code,44.36,4.1899
Wisard,2025-01-21 22:05:05,Distributive,62.74,0.1223
Wisard,2025-01-21 22:05:05,Gaussian,60.8,0.1117
Wisard,2025-01-21 22:05:06,Linear,46.91,0.3644
Wisard,2025-01-21 22:05:10,Scatter Code,42.22,4.2432
Wisard,2025-01-21 22:06:48,Distributive,62.74,0.1230
Wisard,2025-01-21 22:06:48,Gaussian,60.8,0.1133
Wisard,2025-01-21 22:06:48,Linear,46.91,0.3680
Wisard,2025-01-21 22:06:52,Scatter Code,35.69,4.2649
Wisard,2025-01-21 22:08:33,Distributive,62.74,0.1994
Wisard,2025-01-21 22:08:33,Gaussian,60.8,0.1326
Wisard,2025-01-21 22:08:33,Linear,46.91,0.3907
Wisard,2025-01-21 22:08:37,Scatter Code,44.44,4.0619
Wisard,2025-01-21 22:10:19,Distributive,62.74,0.1095
Wisard,2025-01-21 22:10:19,Gaussian,60.8,0.1121
Wisard,2025-01-21 22:10:20,Linear,46.91,0.3658
Wisard,2025-01-21 22:10:24,Scatter Code,44.17,4.6876
Wisard,2025-01-21 22:12:10,Distributive,62.74,0.1128
Wisard,2025-01-21 22:12:10,Gaussian,60.8,0.1141
Wisard,2025-01-21 22:12:11,Linear,46.91,0.3744
Wisard,2025-01-21 22:12:15,Scatter Code,35.6,4.4256
Wisard,2025-01-21 22:13:58,Distributive,62.74,0.1279
Wisard,2025-01-21 22:13:58,Gaussian,60.8,0.1139
Wisard,2025-01-21 22:13:58,Linear,46.91,0.3681
Wisard,2025-01-21 22:14:03,Scatter Code,44.25,4.4836
Wisard,2025-01-21 22:15:46,Distributive,62.74,0.1848
Wisard,2025-01-21 22:15:46,Gaussian,60.8,0.1524
Wisard,2025-01-21 22:15:46,Linear,46.91,0.4051
Wisard,2025-01-21 22:15:54,Scatter Code,43.34,7.3720
Wisard,2025-01-21 22:17:36,Distributive,62.74,0.1221
Wisard,2025-01-21 22:17:36,Gaussian,60.8,0.1109
Wisard,2025-01-21 22:17:36,Linear,46.91,0.3669
Wisard,2025-01-21 22:17:43,Scatter Code,44.37,6.5261
Wisard,2025-01-21 22:19:34,Distributive,62.74,0.2034
Wisard,2025-01-21 22:19:34,Gaussian,60.8,0.2333
Wisard,2025-01-21 22:19:35,Linear,46.91,0.4013
Wisard,2025-01-21 22:19:40,Scatter Code,42.22,5.3673
Wisard,2025-01-21 22:21:26,Distributive,62.74,0.1150
Wisard,2025-01-21 22:21:26,Gaussian,60.8,0.1164
Wisard,2025-01-21 22:21:27,Linear,46.91,0.3709
